"","GO0043565_sequence_specific_DNA_binding"
"Q9BY84_IDR_561_654",0.426191284749572
"Q9BY89_IDR_1_31",0.598379440042346
"Q9BY89_IDR_37_1789",0.401620559957654
"Q9BYK8_IDR_959_1061",1
"Q9BYL1_IDR_1_109",1
"Q9BYM8_IDR_148_193",0.450212086930478
"Q9BYM8_IDR_243_277",0.549787913069522
"Q9BYN0_IDR_1_36",1
"Q9BYN7_IDR_1_321",1
"Q9BYN8_IDR_1_38",1
"Q9BYP7_IDR_1_134",0.340326075507793
"Q9BYP7_IDR_486_1800",0.659673924492207
"Q9BYP8_IDR_1_105",1
"Q9BYW2_IDR_1075_1452",0.23185352868605
"Q9BYW2_IDR_1_1069",0.187245211785084
"Q9BYW2_IDR_1829_2147",0.200289303053566
"Q9BYW2_IDR_2311_2388",0.194673872554954
"Q9BYW2_IDR_2421_2468",0.185938083920345
"Q9BYW3_IDR_65_111",1
"Q9BYX2_IDR_1_44",0.329782473907441
"Q9BYX2_IDR_145_329",0.321831896357928
"Q9BYX2_IDR_384_454",0.348385629734631
"Q9BYX4_IDR_200_304",1
"Q9BZD6_IDR_1_31",1
"Q9BZD7_IDR_162_214",1
"Q9BZE1_IDR_1_31",1
"Q9BZE2_IDR_434_471",1
"Q9BZE3_IDR_1_190",0.616630357085228
"Q9BZE3_IDR_286_327",0.383369642914772
"Q9BZE4_IDR_461_634",1
"Q9BZE7_IDR_56_93",1
"Q9BZE9_IDR_177_316",0.514541161040788
"Q9BZE9_IDR_495_553",0.485458838959212
"Q9BZJ6_IDR_35_76",1
"Q9BZJ7_IDR_205_237",0.474654039804445
"Q9BZJ7_IDR_311_368",0.525345960195555
"Q9BZJ8_IDR_1_40",0.306233618279839
"Q9BZJ8_IDR_246_282",0.257512531079799
"Q9BZJ8_IDR_364_451",0.436253850640362
"Q9BZK7_IDR_90_150",1
"Q9BZL4_IDR_315_691",1
"Q9BZL6_IDR_1_37",0.359407569471363
"Q9BZL6_IDR_190_250",0.195568125099707
"Q9BZL6_IDR_316_378",0.210905358863152
"Q9BZL6_IDR_848_878",0.234118946565778
"Q9BZM3_IDR_14_204",0.706024550096922
"Q9BZM3_IDR_254_304",0.293975449903078
"Q9BZM4_IDR_207_244",1
"Q9BZM6_IDR_207_244",1
"Q9BZP6_IDR_390_427",1
"Q9BZQ2_IDR_1_103",1
"Q9BZQ6_IDR_792_907",1
"Q9BZQ8_IDR_564_928",1
"Q9C009_IDR_206_403",0.335117399497165
"Q9C010_IDR_1_78",1
"Q9C026_IDR_42_120",1
"Q9C056_IDR_1_277",1
"Q9C073_IDR_1_453",1
"Q9C075_IDR_1_58",1
"Q9C086_IDR_1_67",0.565532621094116
"Q9C086_IDR_78_267",0.434467378905884
"Q9C091_IDR_1088_1225",0.434810891636031
"Q9C091_IDR_241_368",0.225727770264291
"Q9C091_IDR_51_102",0.339461338099678
"Q9C093_IDR_1197_1327",0.184698348766657
"Q9C093_IDR_1663_1709",0.219796580470528
"Q9C093_IDR_257_290",0.21695240932916
"Q9C093_IDR_608_681",0.220971381170489
"Q9C093_IDR_890_1004",0.157581280263166
"Q9C098_IDR_21_345",0.460054907786566
"Q9C098_IDR_617_648",0.539945092213434
"Q9C099_IDR_200_431",1
"Q9C0A0_IDR_1269_1308",1
"Q9C0B7_IDR_761_833",1
"Q9C0B9_IDR_1_92",0.229511871235826
"Q9C0B9_IDR_207_351",0.224958057118858
"Q9C0B9_IDR_403_435",0.165368863991808
"Q9C0B9_IDR_464_1021",0.380161207653509
"Q9C0C2_IDR_1_1729",1
"Q9C0C4_IDR_688_728",1
"Q9C0C6_IDR_1_312",1
"Q9C0C7_IDR_1061_1298",0.155013831763661
"Q9C0C7_IDR_250_310",0.229792531605372
"Q9C0C7_IDR_312_649",0.261479498890657
"Q9C0C7_IDR_665_726",0.182721100514414
"Q9C0C7_IDR_737_805",0.170993037225896
"Q9C0C9_IDR_1155_1249",0.235887444263402
"Q9C0C9_IDR_1_55",0.251800994695205
"Q9C0C9_IDR_399_537",0.297506795749462
"Q9C0C9_IDR_712_920",0.21480476529193
"Q9C0D0_IDR_1_446",1
"Q9C0D2_IDR_1_2537",1
"Q9C0D4_IDR_1_53",0.240123680138935
"Q9C0F1_IDR_289_390",0.395926092782298
"Q9C0F3_IDR_54_135",1
"Q9C0G0_IDR_1_1338",1
"Q9C0G6_IDR_1_177",1
"Q9C0H2_IDR_416_523",1
"Q9C0H6_IDR_27_156",1
"Q9C0H9_IDR_1_175",0.480971080165984
"Q9C0H9_IDR_264_1183",0.519028919834016
"Q9C0I1_IDR_545_578",1
"Q9C0I3_IDR_1_900",1
"Q9C0I9_IDR_1_32",0.565728139207554
"Q9C0I9_IDR_179_441",0.434271860792446
"Q9C0J1_IDR_1_86",1
"Q9C0J8_IDR_1_49",0.304328211157697
"Q9C0J8_IDR_408_507",0.284282257541576
"Q9C0J8_IDR_511_1336",0.411389531300727
"Q9C0J9_IDR_1_48",0.357575345579207
"Q9C0J9_IDR_175_482",0.642424654420793
"Q9C0K0_IDR_1_824",0.780974966568737
"Q9C0K0_IDR_858_894",0.219025033431263
"Q9GZR2_IDR_80_195",0.497883579870075
"Q9GZR5_IDR_273_314",1
"Q9GZR7_IDR_261_383",0.366452389464251
"Q9GZR7_IDR_62_190",0.219160621120199
"Q9GZR7_IDR_812_859",0.41438698941555
"Q9GZS0_IDR_563_605",1
"Q9GZS9_IDR_1_45",1
"Q9GZT5_IDR_1_37",1
"Q9GZT9_IDR_60_185",1
"Q9GZU1_IDR_1_36",1
"Q9GZU2_IDR_126_365",0.250349892150476
"Q9GZU2_IDR_1305_1386",0.295345274665588
"Q9GZU2_IDR_1_34",0.225714212729873
"Q9GZU2_IDR_1417_1478",0.228590620454063
"Q9GZU3_IDR_1_60",1
"Q9GZU7_IDR_1_35",1
"Q9GZU8_IDR_1_254",1
"Q9GZV1_IDR_49_88",1
"Q9GZV3_IDR_1_35",0.511146385294929
"Q9GZV3_IDR_520_580",0.488853614705071
"Q9H009_IDR_142_177",0.537042622823255
"Q9H009_IDR_1_74",0.462957377176745
"Q9H013_IDR_726_923",1
"Q9H019_IDR_148_237",0.472479364975379
"Q9H019_IDR_74_143",0.527520635024621
"Q9H040_IDR_215_450",1
"Q9H063_IDR_210_256",0.488851068305556
"Q9H063_IDR_52_83",0.511148931694444
"Q9H074_IDR_1_118",1
"Q9H078_IDR_23_84",1
"Q9H0E3_IDR_1_886",1
"Q9H0E7_IDR_107_164",0.242331178795549
"Q9H0E7_IDR_167_291",0.247828029645573
"Q9H0E7_IDR_306_373",0.231658374078382
"Q9H0E7_IDR_682_712",0.278182417480496
"Q9H0E9_IDR_133_704",0.489762062536862
"Q9H0E9_IDR_819_854",0.251554449633877
"Q9H0E9_IDR_869_1101",0.258683487829261
"Q9H0F5_IDR_1_386",1
"Q9H0F6_IDR_121_167",0.496174746496182
"Q9H0V9_IDR_1_43",0.428970923604043
"Q9H0V9_IDR_293_348",0.571029076395957
"Q9H0W5_IDR_62_92",0.581605328446391
"Q9H0W5_IDR_99_538",0.418394671553609
"Q9H0W7_IDR_87_127",1
"Q9H0W8_IDR_1_170",1
"Q9H0X4_IDR_1_63",1
"Q9H0X6_IDR_43_138",1
"Q9H0X9_IDR_1_98",0.402244666214123
"Q9H0X9_IDR_249_362",0.268374013535866
"Q9H161_IDR_236_411",0.539859587219632
"Q9H165_IDR_1_747",1
"Q9H171_IDR_281_317",0.366862505666499
"Q9H171_IDR_344_400",0.338444367888609
"Q9H171_IDR_72_104",0.294693126444891
"Q9H172_IDR_1_43",0.462543561516394
"Q9H172_IDR_333_364",0.537456438483606
"Q9H173_IDR_1_63",1
"Q9H175_IDR_128_168",0.212576836428214
"Q9H175_IDR_1_63",0.236355344418592
"Q9H175_IDR_281_371",0.280568518590361
"Q9H175_IDR_425_543",0.270499300562834
"Q9H190_IDR_1_39",1
"Q9H1A4_IDR_288_392",0.330946304841405
"Q9H1A4_IDR_674_704",0.222825520215096
"Q9H1A4_IDR_715_746",0.26003380735236
"Q9H1A4_IDR_988_1019",0.186194367591138
"Q9H1B5_IDR_37_149",1
"Q9H1B7_IDR_64_362",0.360507209361662
"Q9H1K0_IDR_472_732",0.313613340764621
"Q9H1M0_IDR_1_70",1
"Q9H1M3_IDR_1_61",0.518717386369522
"Q9H1M3_IDR_70_183",0.481282613630478
"Q9H1P3_IDR_1_59",0.562202466978929
"Q9H1P3_IDR_319_350",0.437797533021071
"Q9H1Q7_IDR_370_451",1
"Q9H1R2_IDR_140_295",1
"Q9H1R3_IDR_1_262",1
"Q9H1U4_IDR_1_197",1
"Q9H1V8_IDR_1_60",0.516098663465557
"Q9H1V8_IDR_646_711",0.483901336534444
"Q9H1X3_IDR_1_32",1
"Q9H1Y3_IDR_1_31",0.604895558703696
"Q9H1Y3_IDR_330_397",0.395104441296304
"Q9H1Z8_IDR_109_148",0.543027026711996
"Q9H1Z8_IDR_1_31",0.456972973288004
"Q9H201_IDR_144_632",1
"Q9H204_IDR_1_41",1
"Q9H2B2_IDR_1_151",1
"Q9H2B4_IDR_574_604",1
"Q9H2C1_IDR_121_227",0.471945275518532
"Q9H2C1_IDR_298_345",0.528054724481468
"Q9H2D6_IDR_1_2115",0.567865931474889
"Q9H2D6_IDR_2151_2188",0.432134068525112
"Q9H2F5_IDR_276_439",0.530719399185509
"Q9H2F5_IDR_471_836",0.469280600814491
"Q9H2F9_IDR_45_107",1
"Q9H2G2_IDR_1205_1235",0.546424641629606
"Q9H2G2_IDR_313_796",0.453575358370394
"Q9H2G4_IDR_1_210",0.516347186787744
"Q9H2G4_IDR_426_682",0.483652813212256
"Q9H2G9_IDR_1_130",0.518047157750988
"Q9H2G9_IDR_219_321",0.481952842249012
"Q9H2H9_IDR_1_72",1
"Q9H2I8_IDR_135_173",1
"Q9H2J4_IDR_208_239",1
"Q9H2J7_IDR_1_62",0.509068664493678
"Q9H2W2_IDR_136_220",0.592245926959011
"Q9H2W2_IDR_1_91",0.407754073040989
"Q9H2W6_IDR_1_41",1
"Q9H2X0_IDR_1_31",1
"Q9H2X3_IDR_1_60",1
"Q9H2X6_IDR_43_180",0.458977014012575
"Q9H2X6_IDR_536_1061",0.541022985987425
"Q9H2X8_IDR_1_130",1
"Q9H2X9_IDR_10_81",0.315830743341033
"Q9H2X9_IDR_87_120",0.356377616271583
"Q9H2X9_IDR_942_1066",0.327791640387384
"Q9H2Y7_IDR_1_1382",1
"Q9H2Y9_IDR_1_110",0.321520122072104
"Q9H2Y9_IDR_374_412",0.288667716518588
"Q9H2Y9_IDR_763_848",0.389812161409308
"Q9H2Z4_IDR_1_191",0.631596349679324
"Q9H2Z4_IDR_289_342",0.368403650320676
"Q9H300_IDR_21_90",1
"Q9H305_IDR_1_119",1
"Q9H307_IDR_1_150",0.606324902283426
"Q9H3E2_IDR_410_470",1
"Q9H3F6_IDR_265_313",1
"Q9H3H1_IDR_414_467",1
"Q9H3H3_IDR_1_70",1
"Q9H3H9_IDR_1_227",1
"Q9H3J6_IDR_129_166",1
"Q9H3K2_IDR_1_73",1
"Q9H3M0_IDR_427_494",1
"Q9H3M9_IDR_183_355",1
"Q9H3N1_IDR_210_280",1
"Q9H3N8_IDR_207_291",1
"Q9H3P2_IDR_147_433",1
"Q9H3P7_IDR_188_237",0.27165626550199
"Q9H3P7_IDR_22_69",0.26281122114427
"Q9H3P7_IDR_291_363",0.465532513353739
"Q9H3Q1_IDR_1_35",0.314722644320456
"Q9H3Q1_IDR_227_356",0.326301113649686
"Q9H3Q1_IDR_55_199",0.358976242029858
"Q9H3Q3_IDR_1_47",1
"Q9H3R0_IDR_363_612",1
"Q9H422_IDR_511_869",0.301245359978923
"Q9H422_IDR_87_147",0.120419025988184
"Q9H422_IDR_874_1078",0.411002801770877
"Q9H425_IDR_129_306",1
"Q9H426_IDR_1_78",1
"Q9H444_IDR_172_212",1
"Q9H446_IDR_190_243",1
"Q9H461_IDR_152_230",0.347959866961946
"Q9H461_IDR_344_380",0.285231417393036
"Q9H461_IDR_624_694",0.366808715645018
"Q9H467_IDR_89_145",1
"Q9H497_IDR_1_37",1
"Q9H4A3_IDR_1_206",0.193151996089287
"Q9H4A3_IDR_1262_2382",0.28552610376931
"Q9H4A3_IDR_567_1259",0.521321900141404
"Q9H4A5_IDR_1_42",1
"Q9H4A6_IDR_1_57",1
"Q9H4A9_IDR_1_49",1
"Q9H4B4_IDR_1_47",0.542103157455184
"Q9H4B4_IDR_337_413",0.457896842544816
"Q9H4I3_IDR_1_56",1
"Q9H4I9_IDR_1_49",1
"Q9H4L4_IDR_1_309",1
"Q9H4L5_IDR_1_31",0.278789943828516
"Q9H4L5_IDR_164_210",0.259690331500789
"Q9H4L5_IDR_246_512",0.461519724670695
"Q9H4L7_IDR_1_248",0.486644630582191
"Q9H4L7_IDR_292_382",0.513355369417809
"Q9H4M7_IDR_1_46",0.3356075118662
"Q9H4M7_IDR_149_436",0.363207613341725
"Q9H4M7_IDR_473_747",0.301184874792074
"Q9H4Q3_IDR_162_443",0.632314770435286
"Q9H4Q3_IDR_643_707",0.367685229564714
"Q9H4Q4_IDR_321_367",1
"Q9H4S2_IDR_14_162",0.59301223098508
"Q9H4S2_IDR_199_264",0.40698776901492
"Q9H4T2_IDR_125_233",1
"Q9H4W6_IDR_406_596",1
"Q9H4X1_IDR_59_116",1
"Q9H4Z2_IDR_1_165",0.17597273879862
"Q9H5I5_IDR_1464_1896",0.0913825276478794
"Q9H5I5_IDR_2042_2146",0.216082331551347
"Q9H5I5_IDR_837_904",0.119354370259862
"Q9H5J0_IDR_173_466",0.467118401642678
"Q9H5J0_IDR_521_574",0.532881598357322
"Q9H5J8_IDR_1_74",0.347555654593511
"Q9H5J8_IDR_245_278",0.358824693280179
"Q9H5J8_IDR_85_122",0.293619652126309
"Q9H5K3_IDR_1_56",1
"Q9H5L6_IDR_100_149",1
"Q9H5N1_IDR_1_303",0.637235229002588
"Q9H5N1_IDR_305_440",0.362764770997412
"Q9H5P4_IDR_309_391",0.20190490937039
"Q9H5P4_IDR_393_553",0.171164213170498
"Q9H5P4_IDR_679_856",0.192973424984886
"Q9H5P4_IDR_952_1033",0.208361212307747
"Q9H5P4_IDR_9_54",0.225596240166479
"Q9H5U6_IDR_450_513",1
"Q9H5V7_IDR_145_360",0.607918505751573
"Q9H5V7_IDR_1_55",0.392081494248427
"Q9H6B1_IDR_216_263",0.201453229971541
"Q9H6B1_IDR_279_319",0.208994625046933
"Q9H6B1_IDR_327_363",0.20171636090738
"Q9H6B1_IDR_92_201",0.17041659432752
"Q9H6B4_IDR_260_347",1
"Q9H6D3_IDR_348_395",1
"Q9H6D8_IDR_195_234",1
"Q9H6E4_IDR_179_229",1
"Q9H6E5_IDR_227_317",0.53200992546931
"Q9H6E5_IDR_636_759",0.46799007453069
"Q9H6W3_IDR_1_196",1
"Q9H6X2_IDR_402_444",0.542246631605652
"Q9H6X2_IDR_475_564",0.457753368394348
"Q9H6X4_IDR_1_144",1
"Q9H6X5_IDR_1_524",1
"Q9H6Y2_IDR_334_383",1
"Q9H6Y5_IDR_211_334",0.475929838761393
"Q9H6Y5_IDR_68_119",0.524070161238607
"Q9H6Z4_IDR_1_384",0.604993489869167
"Q9H6Z4_IDR_514_567",0.395006510130833
"Q9H706_IDR_335_769",1
"Q9H7N4_IDR_1_1209",0.43020492323272
"Q9H7N4_IDR_1279_1312",0.56979507676728
"Q9H7P6_IDR_196_242",1
"Q9H7P9_IDR_1_98",0.561785560838556
"Q9H7P9_IDR_429_1386",0.438214439161444
"Q9H7R0_IDR_67_127",1
"Q9H7R5_IDR_47_177",1
"Q9H7S9_IDR_1_548",1
"Q9H7T9_IDR_1_281",1
"Q9H7U1_IDR_1_655",0.449068217556575
"Q9H825_IDR_119_190",1
"Q9H832_IDR_1_77",1
"Q9H841_IDR_1_42",0.461036909921694
"Q9H841_IDR_333_368",0.538963090078306
"Q9H845_IDR_1_36",1
"Q9H857_IDR_1_38",1
"Q9H869_IDR_1_160",0.211625855259694
"Q9H869_IDR_345_375",0.226530526222155
"Q9H869_IDR_392_745",0.235683615710382
"Q9H869_IDR_752_796",0.326160002807769
"Q9H875_IDR_1_184",1
"Q9H892_IDR_44_77",1
"Q9H898_IDR_87_142",1
"Q9H8E8_IDR_1_64",0.443866622770794
"Q9H8E8_IDR_211_460",0.556133377229206
"Q9H8G2_IDR_1_126",0.4548256793959
"Q9H8G2_IDR_198_361",0.5451743206041
"Q9H8J5_IDR_125_377",1
"Q9H8K7_IDR_216_327",1
"Q9H8L6_IDR_126_241",0.215746044564031
"Q9H8W4_IDR_215_249",1
"Q9H8X9_IDR_277_412",1
"Q9H8Y1_IDR_359_397",0.543717282142376
"Q9H8Y1_IDR_553_618",0.456282717857624
"Q9H8Y5_IDR_120_153",0.371049758384831
"Q9H8Y5_IDR_354_489",0.316484535517329
"Q9H8Y5_IDR_618_681",0.31246570609784
"Q9H8Y8_IDR_208_452",1
"Q9H902_IDR_142_201",1
"Q9H903_IDR_1_38",1
"Q9H910_IDR_1_177",1
"Q9H930_IDR_1_36",0.537915394324515
"Q9H930_IDR_152_299",0.462084605675485
"Q9H939_IDR_290_332",1
"Q9H967_IDR_179_251",0.403181051245614
"Q9H967_IDR_60_176",0.596818948754386
"Q9H972_IDR_464_518",0.575886538553689
"Q9H972_IDR_71_300",0.424113461446311
"Q9H981_IDR_1_36",0.469620978092175
"Q9H981_IDR_428_495",0.530379021907825
"Q9H9Q2_IDR_219_264",1
"Q9H9Q4_IDR_225_299",1
"Q9H9R9_IDR_1_158",1
"Q9H9S0_IDR_146_192",0.53447441051091
"Q9H9S0_IDR_1_98",0.46552558948909
"Q9H9Y2_IDR_1_52",0.49737437818378
"Q9H9Y2_IDR_84_128",0.50262562181622
"Q9H9Z2_IDR_119_209",0.639067229202251
"Q9H9Z2_IDR_1_36",0.360932770797749
"Q9HA38_IDR_1_235",1
"Q9HA47_IDR_241_277",1
"Q9HA82_IDR_335_394",1
"Q9HA90_IDR_155_448",0.549442010613933
"Q9HA90_IDR_91_139",0.450557989386067
"Q9HA92_IDR_1_37",1
"Q9HAB3_IDR_222_268",1
"Q9HAC8_IDR_1_31",1
"Q9HAF1_IDR_68_191",1
"Q9HAH1_IDR_45_146",1
"Q9HAH7_IDR_1_460",1
"Q9HAU8_IDR_677_725",1
"Q9HAV5_IDR_263_297",0.482369233243596
"Q9HAV5_IDR_66_246",0.517630766756404
"Q9HAV7_IDR_1_57",1
"Q9HAW0_IDR_305_383",1
"Q9HAW4_IDR_1_1139",0.2754740519626
"Q9HAW4_IDR_1141_1256",0.354236831292969
"Q9HAW4_IDR_1292_1332",0.370289116744431
"Q9HAY2_IDR_1_73",1
"Q9HAZ1_IDR_1_142",1
"Q9HAZ2_IDR_1_67",0.252182080519579
"Q9HAZ2_IDR_216_393",0.36558104992884
"Q9HAZ2_IDR_397_1246",0.382236869551581
"Q9HB07_IDR_1_43",1
"Q9HB09_IDR_1_171",1
"Q9HB14_IDR_296_346",0.379793975537908
"Q9HB14_IDR_356_386",0.620206024462092
"Q9HB15_IDR_316_368",0.482246863712127
"Q9HB15_IDR_380_430",0.517753136287873
"Q9HB20_IDR_181_300",1
"Q9HBH1_IDR_1_40",1
"Q9HBH7_IDR_1_58",1
"Q9HBH9_IDR_1_74",0.537141048009835
"Q9HBH9_IDR_408_458",0.462858951990165
"Q9HBI1_IDR_1_70",1
"Q9HBJ0_IDR_125_189",1
"Q9HBJ7_IDR_107_285",0.339034719928885
"Q9HBJ7_IDR_565_657",0.340561950359076
"Q9HBJ7_IDR_746_817",0.320403329712039
"Q9HBJ8_IDR_164_208",1
"Q9HBL0_IDR_344_1447",1
"Q9HBL6_IDR_237_268",1
"Q9HBM0_IDR_23_67",0.394118925308792
"Q9HBM0_IDR_400_474",0.313390135581235
"Q9HBM0_IDR_498_779",0.292490939109973
"Q9HC44_IDR_427_474",0.422087564668654
"Q9HC52_IDR_64_336",1
"Q9HC56_IDR_839_1237",1
"Q9HC58_IDR_1_91",0.540911789375271
"Q9HC58_IDR_272_434",0.459088210624729
"Q9HC62_IDR_1_363",1
"Q9HC73_IDR_299_342",1
"Q9HC77_IDR_1048_1151",0.538055083429721
"Q9HC77_IDR_33_949",0.461944916570279
"Q9HC78_IDR_1_65",0.236968163064048
"Q9HC78_IDR_202_498",0.763031836935952
"Q9HC84_IDR_1433_1501",0.202777147769991
"Q9HC84_IDR_1605_1778",0.191472413904657
"Q9HC84_IDR_1884_2304",0.197531444388707
"Q9HC84_IDR_2416_2861",0.202896931974786
"Q9HCE5_IDR_1_110",0.632304389880921
"Q9HCE5_IDR_397_456",0.367695610119079
"Q9HCE6_IDR_1131_1168",0.577629190146501
"Q9HCE6_IDR_1_309",0.422370809853499
"Q9HCE7_IDR_140_234",0.625877274416652
"Q9HCE7_IDR_266_307",0.374122725583349
"Q9HCE9_IDR_1156_1220",0.185994736739215
"Q9HCE9_IDR_1_35",0.298717605350571
"Q9HCE9_IDR_519_653",0.175624934440124
"Q9HCE9_IDR_658_727",0.163864885460967
"Q9HCE9_IDR_882_1143",0.175797838009124
"Q9HCG1_IDR_51_254",1
"Q9HCG7_IDR_1_76",0.51394974829469
"Q9HCG7_IDR_896_927",0.48605025170531
"Q9HCG8_IDR_1_124",0.369549296848873
"Q9HCG8_IDR_408_441",0.341396835253683
"Q9HCG8_IDR_656_908",0.289053867897444
"Q9HCJ5_IDR_129_202",0.269364149313866
"Q9HCJ5_IDR_1_72",0.346895264398024
"Q9HCJ5_IDR_483_513",0.383740586288109
"Q9HCJ6_IDR_1_38",0.448357459897586
"Q9HCJ6_IDR_383_419",0.551642540102414
"Q9HCK0_IDR_128_267",1
"Q9HCK1_IDR_1616_1856",0.297844389507754
"Q9HCK1_IDR_1862_2007",0.251022996381732
"Q9HCK1_IDR_2065_2354",0.208558011840968
"Q9HCK1_IDR_56_1610",0.242574602269547
"Q9HCK4_IDR_932_972",0.391932223944206
"Q9HCK4_IDR_982_1378",0.608067776055795
"Q9HCK8_IDR_1399_1439",0.217795291734434
"Q9HCK8_IDR_1_662",0.178452808939376
"Q9HCK8_IDR_1663_1736",0.207412214819509
"Q9HCK8_IDR_1967_2581",0.396339684506681
"Q9HCL0_IDR_725_915",0.425513072586817
"Q9HCL0_IDR_952_1083",0.574486927413183
"Q9HCL3_IDR_59_201",1
"Q9HCM1_IDR_1_1747",1
"Q9HCU0_IDR_344_388",0.413870455692971
"Q9HCU0_IDR_401_687",0.586129544307029
"Q9HCU4_IDR_2626_2917",1
"Q9HCU8_IDR_1_41",1
"Q9HCU9_IDR_1_53",0.474508725369356
"Q9HCU9_IDR_172_205",0.525491274630644
"Q9HCX3_IDR_52_125",1
"Q9HCX4_IDR_1_37",0.36297492022202
"Q9HCX4_IDR_736_775",0.338269299985016
"Q9HCX4_IDR_829_862",0.298755779792964
"Q9HCZ1_IDR_65_208",1
"Q9HD20_IDR_1_40",0.544248791378099
"Q9HD20_IDR_884_948",0.455751208621901
"Q9HD23_IDR_1_81",0.442915394397723
"Q9HD23_IDR_399_443",0.557084605602277
"Q9HD26_IDR_374_462",1
"Q9HD33_IDR_1_60",1
"Q9HD40_IDR_466_501",1
"Q9HD67_IDR_850_886",0.441435303054557
"Q9HD67_IDR_947_1167",0.558564696945443
"Q9NP62_IDR_151_213",1
"Q9NP64_IDR_130_241",0.656334143037504
"Q9NP64_IDR_93_128",0.343665856962496
"Q9NP66_IDR_1_102",0.523627445785152
"Q9NP66_IDR_181_220",0.476372554214848
"Q9NP70_IDR_1_447",1
"Q9NP71_IDR_1_43",0.347522253492028
"Q9NP71_IDR_189_666",0.652477746507972
"Q9NP74_IDR_211_242",0.192664654312802
"Q9NP74_IDR_246_406",0.290516524643597
"Q9NP74_IDR_450_551",0.303099068766388
"Q9NP74_IDR_92_209",0.213719752277212
"Q9NP79_IDR_164_260",1
"Q9NP80_IDR_138_186",0.33237142112246
"Q9NP80_IDR_217_286",0.319361689976209
"Q9NP80_IDR_294_353",0.348266888901331
"Q9NP84_IDR_1_41",1
"Q9NP85_IDR_1_99",0.328659877302135
"Q9NP85_IDR_352_383",0.671340122697865
"Q9NP95_IDR_20_55",1
"Q9NPD5_IDR_283_315",0.350643478720909
"Q9NPD5_IDR_649_702",0.333325715862188
"Q9NPD8_IDR_153_197",1
"Q9NPE2_IDR_133_251",0.502185359262589
"Q6PJI9_IDR_344_383",0.327889968858391
"Q6PJI9_IDR_497_528",0.377961102522229
"Q6PJI9_IDR_588_639",0.29414892861938
"Q6PJP8_IDR_1_115",0.330151962891747
"Q6PJP8_IDR_183_409",0.387488626278833
"Q6PJP8_IDR_412_697",0.282359410829421
"Q6PJQ5_IDR_93_188",1
"Q6PJT7_IDR_78_594",1
"Q6Q759_IDR_1083_1115",0.0996128252860229
"Q6Q759_IDR_1143_1219",0.157127831756583
"Q6Q759_IDR_1324_1379",0.1496407419949
"Q6Q759_IDR_1926_2028",0.106134506319457
"Q6Q759_IDR_880_932",0.09653557750451
"Q6Q759_IDR_936_1012",0.08943300210638
"Q6QHK4_IDR_124_161",0.493034834302609
"Q6QHK4_IDR_1_64",0.506965165697391
"Q6QNK2_IDR_825_874",1
"Q6QNY0_IDR_1_106",1
"Q6T4P5_IDR_398_539",0.160650704514753
"Q6T4P5_IDR_542_578",0.46150824331387
"Q6T4P5_IDR_606_718",0.171716677558781
"Q6T4R5_IDR_1_1651",1
"Q6TDP4_IDR_1_65",1
"Q6TDU7_IDR_290_365",1
"Q6TFL3_IDR_1_46",0.144684706926783
"Q6TFL3_IDR_344_374",0.105398718290045
"Q6TFL3_IDR_385_488",0.098351250691969
"Q6TFL3_IDR_758_980",0.11283988290663
"Q6UWB4_IDR_1_52",0.52065442196149
"Q6UWB4_IDR_303_352",0.479345578038509
"Q6UWD8_IDR_105_151",1
"Q6UWE0_IDR_636_669",1
"Q6UWF3_IDR_48_145",1
"Q6UWH4_IDR_56_202",1
"Q6UWI2_IDR_14_284",1
"Q6UWI4_IDR_78_295",1
"Q6UWJ8_IDR_103_134",1
"Q6UWK7_IDR_1_40",1
"Q6UXB2_IDR_60_99",0.445516364558217
"Q6UXB4_IDR_1_53",1
"Q6UXB8_IDR_170_463",1
"Q6UXD1_IDR_1_115",1
"Q6UXD5_IDR_1_165",1
"Q6UXD7_IDR_446_537",1
"Q6UXF1_IDR_1_457",1
"Q6UXG3_IDR_129_313",1
"Q6UXH8_IDR_220_406",1
"Q6UXI7_IDR_153_223",1
"Q6UXY1_IDR_385_512",0.489158472529712
"Q6UXY8_IDR_961_1006",0.371461976937528
"Q6UXZ3_IDR_129_185",1
"Q6UXZ4_IDR_471_536",1
"Q6UY09_IDR_475_535",0.504986519829985
"Q6UY09_IDR_538_573",0.495013480170015
"Q6UY11_IDR_336_383",1
"Q6UY14_IDR_1_331",0.540786980362611
"Q6UY14_IDR_605_661",0.45921301963739
"Q6UYE1_IDR_29_110",1
"Q6V0L0_IDR_1_43",1
"Q6V1X1_IDR_1_49",1
"Q6V9R5_IDR_1_174",1
"Q6VAB6_IDR_173_400",0.470358214298537
"Q6VAB6_IDR_474_567",0.275925067786249
"Q6VAB6_IDR_571_651",0.253716717915215
"Q6VB84_IDR_1_106",0.419677825562195
"Q6VB84_IDR_235_416",0.580322174437805
"Q6VMQ6_IDR_1_1159",1
"Q6VN20_IDR_1_36",0.444332266192568
"Q6X4U4_IDR_169_206",0.499571901848358
"Q6X4U4_IDR_1_70",0.500428098151642
"Q6X4W1_IDR_108_323",0.738314069060613
"Q6X4W1_IDR_1_101",0.261685930939387
"Q6XD76_IDR_132_172",1
"Q6XE24_IDR_1_56",0.654709794295383
"Q6XE24_IDR_371_437",0.345290205704617
