"","GO0003729_mRNA_binding"
"Q969G3_IDR_135_196",0.309180208859915
"Q969G3_IDR_1_67",0.3239148960006
"Q969G3_IDR_294_411",0.366904895139484
"Q969G5_IDR_130_261",1
"Q969G9_IDR_191_470",1
"Q969H0_IDR_1_229",1
"Q969H4_IDR_327_397",0.327738258708229
"Q969H4_IDR_505_596",0.323477002365784
"Q969H4_IDR_673_720",0.348784738925987
"Q969I6_IDR_1_76",1
"Q969J2_IDR_136_317",1
"Q969K3_IDR_154_265",0.484262889790424
"Q969K3_IDR_286_321",0.515737110209576
"Q969M2_IDR_104_144",0.499430545981165
"Q969M2_IDR_247_484",0.500569454018835
"Q969Y2_IDR_1_31",1
"Q969Z0_IDR_2_64",1
"Q969Z4_IDR_120_343",0.475327697009791
"Q969Z4_IDR_356_416",0.524672302990209
"Q96A00_IDR_1_32",1
"Q96A04_IDR_1_32",0.508007162062277
"Q96A04_IDR_75_125",0.491992837937723
"Q96A08_IDR_1_37",1
"Q96A09_IDR_1_46",1
"Q96A11_IDR_1_61",0.47574149530955
"Q96A11_IDR_401_431",0.52425850469045
"Q96A19_IDR_1_260",0.453797965652756
"Q96A19_IDR_488_550",0.546202034347244
"Q96A22_IDR_1_53",1
"Q96A25_IDR_1_47",1
"Q96A26_IDR_1_61",1
"Q96A29_IDR_1_33",1
"Q96A33_IDR_1_119",0.476874035236089
"Q96A33_IDR_426_483",0.523125964763911
"Q96A46_IDR_1_37",1
"Q96A65_IDR_211_272",0.491477368354353
"Q96A65_IDR_407_481",0.508522631645647
"Q96A73_IDR_1_305",1
"Q96A83_IDR_124_379",0.495024696486447
"Q96A83_IDR_388_441",0.504975303513553
"Q96A98_IDR_1_50",1
"Q96A99_IDR_114_257",0.501276766814445
"Q96A99_IDR_1_39",0.498723233185555
"Q96AA8_IDR_162_489",0.486064626791422
"Q96AA8_IDR_563_619",0.513935373208578
"Q96AC1_IDR_141_178",1
"Q96AC6_IDR_18_243",0.478282824054463
"Q96AC6_IDR_712_838",0.521717175945536
"Q96AD5_IDR_258_294",0.483630180637808
"Q96AD5_IDR_456_504",0.516369819362192
"Q96AE4_IDR_450_482",0.49080485746382
"Q96AE4_IDR_46_97",0.50919514253618
"Q96AG3_IDR_1_94",1
"Q96AG4_IDR_171_264",1
"Q96AH0_IDR_108_204",1
"Q96AY3_IDR_1_38",1
"Q96AY4_IDR_1291_1335",0.288442133555387
"Q96AY4_IDR_1_39",0.340929440963405
"Q96AY4_IDR_1944_2457",0.370628425481208
"Q96B01_IDR_1_352",1
"Q96B18_IDR_47_599",1
"Q96B23_IDR_1_379",1
"Q96B33_IDR_186_292",1
"Q96B36_IDR_37_177",1
"Q96B54_IDR_1_160",1
"Q96B77_IDR_20_51",1
"Q96B97_IDR_157_606",0.535264234884879
"Q96B97_IDR_61_98",0.464735765115121
"Q96BA8_IDR_1_345",0.492672919431827
"Q96BA8_IDR_389_517",0.507327080568173
"Q96BD0_IDR_1_76",1
"Q96BD5_IDR_25_493",0.492084353639613
"Q96BD5_IDR_630_680",0.507915646360387
"Q96BD8_IDR_96_133",1
"Q96BF3_IDR_137_167",0.450287380572703
"Q96BT3_IDR_1_459",1
"Q96BT7_IDR_511_619",1
"Q96BU1_IDR_1_319",1
"Q96BV0_IDR_1_444",1
"Q96BW1_IDR_58_103",1
"Q96BY6_IDR_1230_1325",0.210456177024475
"Q96BY6_IDR_1400_1468",0.199065755824613
"Q96BY6_IDR_1_43",0.200048422522369
"Q96BY6_IDR_2153_2186",0.203467622958396
"Q96BY6_IDR_293_342",0.186962021670147
"Q96BY7_IDR_1008_1047",0.148671355371554
"Q96BY7_IDR_109_144",0.141586955348489
"Q96BY7_IDR_1371_1448",0.140034597955375
"Q96BY7_IDR_1731_1800",0.14014118810793
"Q96BY7_IDR_238_276",0.1460060041477
"Q96BY7_IDR_343_500",0.138738327732547
"Q96BY7_IDR_867_900",0.144821571336406
"Q96BY9_IDR_284_339",1
"Q96BZ4_IDR_1_55",1
"Q96C00_IDR_144_366",1
"Q96CB8_IDR_216_462",0.574801078460921
"Q96CB8_IDR_44_149",0.425198921539079
"Q96CB9_IDR_1_35",1
"Q96CC6_IDR_1_369",1
"Q96CF2_IDR_174_223",1
"Q96CG3_IDR_151_184",1
"Q96CG8_IDR_1_98",1
"Q96CJ1_IDR_114_260",1
"Q96CK0_IDR_1_48",0.366046345806838
"Q96CK0_IDR_172_321",0.310067660769677
"Q96CK0_IDR_323_461",0.323885993423485
"Q96CN4_IDR_1_81",0.332845633650851
"Q96CN4_IDR_662_702",0.343973172713763
"Q96CN4_IDR_705_794",0.323181193635386
"Q96CN9_IDR_1_169",0.339212648600286
"Q96CN9_IDR_396_513",0.332812163929683
"Q96CN9_IDR_569_667",0.327975187470031
"Q96CP2_IDR_1_36",0.500090834133032
"Q96CP2_IDR_70_140",0.499909165866968
"Q96CP6_IDR_1_77",0.352121268398457
"Q96D31_IDR_261_301",0.322588211463591
"Q96D42_IDR_128_322",1
"Q96D53_IDR_1_131",1
"Q96D59_IDR_123_192",1
"Q96D70_IDR_1_70",1
"Q96D71_IDR_104_275",0.534855358585743
"Q96D71_IDR_370_796",0.465144641414257
"Q96D96_IDR_46_83",1
"Q96D98_IDR_1_86",1
"Q96DB5_IDR_1_38",1
"Q96DB9_IDR_15_131",1
"Q96DC7_IDR_1_63",1
"Q96DD7_IDR_72_197",1
"Q96DE5_IDR_1_59",1
"Q96DF8_IDR_1_476",1
"Q96DI7_IDR_1_50",1
"Q96DL1_IDR_1_37",1
"Q96DM1_IDR_1_72",1
"Q96DN2_IDR_744_955",1
"Q96DN5_IDR_949_1027",1
"Q96DZ5_IDR_227_285",0.245786719715788
"Q96DZ5_IDR_361_415",0.255837831637183
"Q96DZ5_IDR_487_547",0.249926416032128
"Q96E09_IDR_1_287",1
"Q96E11_IDR_1_40",1
"Q96E29_IDR_13_116",1
"Q96E39_IDR_82_390",1
"Q96E40_IDR_164_214",1
"Q96E93_IDR_16_69",1
"Q96EA4_IDR_339_586",1
"Q96EB1_IDR_1_44",0.566852480313017
"Q96EB1_IDR_390_420",0.433147519686983
"Q96EB6_IDR_1_174",0.339507201603173
"Q96EB6_IDR_505_621",0.329552072736916
"Q96EB6_IDR_661_747",0.330940725659911
"Q96EC8_IDR_1_51",1
"Q96ES7_IDR_96_151",1
"Q96ED9_IDR_155_256",0.321769180411229
"Q96ED9_IDR_393_481",0.325081406047461
"Q96ED9_IDR_639_719",0.35314941354131
"Q96EE3_IDR_322_360",1
"Q96EU6_IDR_1_116",1
"Q96EV2_IDR_1_1094",1
"Q96EV8_IDR_213_255",0.500487222347697
"Q96EV8_IDR_257_351",0.499512777652303
"Q96EW2_IDR_342_387",0.488449223196287
"Q96EW2_IDR_398_456",0.511550776803713
"Q96EX1_IDR_40_92",1
"Q96EX2_IDR_1_150",1
"Q96EX3_IDR_1_102",1
"Q96EY4_IDR_1_36",0.528057064786065
"Q96EY4_IDR_165_203",0.471942935213935
"Q96EY5_IDR_153_203",1
"Q96EZ8_IDR_1_132",1
"Q96F05_IDR_1_382",1
"Q96F24_IDR_48_242",1
"Q96F25_IDR_1_32",1
"Q96F45_IDR_1_621",1
"Q96FK6_IDR_353_387",1
"Q96FL8_IDR_474_535",1
"Q96FL9_IDR_1_50",1
"Q96FS4_IDR_1_105",0.512488112132248
"Q96FS4_IDR_762_993",0.487511887867752
"Q96FT9_IDR_1_123",1
"Q96FV0_IDR_175_321",1
"Q96FV9_IDR_191_227",0.511341665899507
"Q96FV9_IDR_532_571",0.488658334100493
"Q96FZ2_IDR_292_354",1
"Q96FZ5_IDR_1_33",1
"Q96FZ7_IDR_167_201",1
"Q96G01_IDR_119_665",0.455303686265747
"Q96G01_IDR_737_975",0.544696313734254
"Q96G23_IDR_334_380",1
"Q96G25_IDR_159_268",1
"Q96G27_IDR_46_269",1
"Q96G28_IDR_136_322",1
"Q96G30_IDR_122_157",0.522556877324741
"Q96G30_IDR_58_119",0.477443122675259
"Q96G42_IDR_1_183",1
"Q96G46_IDR_1_120",0.573299257262785
"Q96G46_IDR_236_288",0.426700742737215
"Q96G74_IDR_1_173",0.55675624010235
"Q96G74_IDR_413_512",0.44324375989765
"Q96G91_IDR_337_374",1
"Q96G97_IDR_1_49",0.468333732277091
"Q96G97_IDR_245_398",0.531666267722909
"Q96GA3_IDR_24_377",0.486313092916647
"Q96GA3_IDR_380_475",0.513686907083353
"Q96GC6_IDR_244_478",0.5007701834941
"Q96GC6_IDR_76_108",0.4992298165059
"Q96GC9_IDR_1_36",1
"Q96GD3_IDR_237_353",0.537868840964751
"Q96GD3_IDR_464_587",0.462131159035249
"Q96GD4_IDR_1_67",1
"Q96GE4_IDR_116_568",1
"Q96GE5_IDR_48_111",1
"Q96GF1_IDR_1_33",1
"Q96GI7_IDR_127_178",0.49824020542547
"Q96GI7_IDR_1_86",0.50175979457453
"Q96GL9_IDR_36_94",1
"Q96GM1_IDR_290_343",1
"Q96GM5_IDR_1_130",1
"Q96GM8_IDR_331_435",1
"Q96GN5_IDR_152_234",0.318168073208227
"Q96GN5_IDR_237_321",0.359580495235372
"Q96GN5_IDR_89_138",0.322251431556401
"Q96GP6_IDR_570_871",1
"Q96GX5_IDR_185_490",0.327298845443756
"Q96GX5_IDR_495_648",0.308595572899412
"Q96GX5_IDR_660_732",0.364105581656832
"Q96GY0_IDR_143_296",0.518992404854793
"Q96GY0_IDR_42_140",0.481007595145206
"Q96GY3_IDR_129_200",0.48735977016543
"Q96GY3_IDR_33_91",0.51264022983457
"Q96GZ6_IDR_1_60",1
"Q96H12_IDR_89_213",1
"Q96H15_IDR_134_378",1
"Q96H35_IDR_108_190",1
"Q96H72_IDR_135_209",1
"Q96H79_IDR_250_300",1
"Q96H86_IDR_79_172",1
"Q96HA1_IDR_1_57",0.398114039523108
"Q96HA1_IDR_70_1249",0.601885960476892
"Q96HB5_IDR_1_55",0.447017566654029
"Q96HA4_IDR_181_380",1
"Q96HA7_IDR_458_528",0.480017670633641
"Q96HA7_IDR_663_928",0.519982329366359
"Q96HB5_IDR_63_623",0.552982433345971
"Q96HC4_IDR_84_409",1
"Q96HD1_IDR_1_42",1
"Q96HE9_IDR_134_224",0.474136875501165
"Q96HE9_IDR_1_54",0.525863124498835
"Q96HF1_IDR_1_35",1
"Q96HG1_IDR_1_36",1
"Q96HH4_IDR_1_91",1
"Q96HH6_IDR_1_35",1
"Q96HH9_IDR_1_106",0.500845764899652
"Q96HN2_IDR_1_183",1
"Q96HP0_IDR_1185_1242",0.163831994897478
"Q96HP0_IDR_1308_1375",0.175678893709042
"Q96HP0_IDR_1_44",0.178902262414448
"Q96HP0_IDR_156_194",0.156645094051913
"Q96HP0_IDR_410_444",0.167018272570495
"Q96HP0_IDR_850_900",0.157923482356624
"Q96HQ0_IDR_69_167",1
"Q96HR8_IDR_1_169",0.43601069929754
"Q96HR8_IDR_295_391",0.56398930070246
"Q96HR9_IDR_180_211",1
"Q96HS1_IDR_1_42",1
"Q96HU1_IDR_1_40",0.501314904864253
"Q96HU1_IDR_387_423",0.498685095135747
"Q96HV5_IDR_1_38",1
"Q96HW7_IDR_1_37",1
"Q96HY6_IDR_1_178",1
"Q96HZ4_IDR_136_215",0.482193836237711
"Q96HZ4_IDR_1_37",0.517806163762289
"Q96I13_IDR_101_153",1
"Q96I23_IDR_1_48",1
"Q96I24_IDR_35_74",1
"Q96I25_IDR_1_295",1
"Q96I34_IDR_323_520",1
"Q96I76_IDR_54_96",0.530393028638316
"Q96IQ9_IDR_197_312",0.475331673050961
"Q96IR2_IDR_1_154",1
"Q96IS3_IDR_1_32",1
"Q96IT1_IDR_125_369",0.317231383798749
"Q96IT1_IDR_1_39",0.345147342951705
"Q96IT1_IDR_488_518",0.337621273249546
"Q96IU2_IDR_1_41",1
"Q96IV0_IDR_112_165",1
"Q96IW2_IDR_1_228",1
"Q96IW7_IDR_158_198",1
"Q96IY1_IDR_1_33",0.507981445693501
"Q96IY1_IDR_224_281",0.492018554306499
"Q96IZ0_IDR_1_272",1
"Q96IZ5_IDR_174_267",1
"Q96IZ6_IDR_118_166",1
"Q96IZ7_IDR_1_286",1
"Q96J02_IDR_147_326",1
"Q96J42_IDR_103_174",0.512792857592411
"Q96J42_IDR_1_84",0.487207142407589
"Q96J66_IDR_736_784",1
"Q96J84_IDR_524_604",0.404604387304674
"Q96J84_IDR_612_757",0.595395612695326
"Q96J86_IDR_108_154",1
"Q96J87_IDR_1_42",0.528820618460409
"Q96J87_IDR_278_312",0.471179381539591
"Q96JB5_IDR_253_284",1
"Q96JB8_IDR_322_368",1
"Q96JC9_IDR_113_268",1
"Q96JE7_IDR_123_268",0.235735183232964
"Q96JE7_IDR_1_89",0.313699823637336
"Q96JE7_IDR_397_430",0.218506068327111
"Q96JE7_IDR_713_1054",0.23205892480259
"Q96JE9_IDR_34_813",1
"Q96JF0_IDR_33_194",1
"Q96JF6_IDR_1_99",1
"Q96JG6_IDR_1_46",0.499548566498493
"Q96JG6_IDR_492_601",0.500451433501507
"Q96JG8_IDR_1_55",0.337281383418586
"Q96JG8_IDR_57_408",0.341987381341359
"Q96JG8_IDR_688_729",0.320731235240055
"Q96JH7_IDR_1093_1222",0.26450527828785
"Q96JH7_IDR_1_40",0.251713234437706
"Q96JH7_IDR_699_773",0.24922888677127
"Q96JH7_IDR_985_1087",0.234552600503173
"Q96JH8_IDR_1_58",0.313729473677148
"Q96JH8_IDR_167_237",0.324984130641373
"Q96JH8_IDR_814_968",0.361286395681479
"Q96JJ6_IDR_159_192",0.445766774154396
"Q96JJ6_IDR_356_603",0.554233225845604
"Q96JJ7_IDR_401_454",1
"Q96JK2_IDR_432_485",0.496296244445115
"Q96JK2_IDR_491_942",0.503703755554885
"Q96JM4_IDR_1499_1536",0.141291306743971
"Q96JM4_IDR_1587_1629",0.149251538489429
"Q96JM4_IDR_1690_1722",0.143782219257765
"Q96JM7_IDR_122_223",0.34695711470947
"Q96JM7_IDR_49_118",0.325312492459693
"Q96JM7_IDR_546_683",0.327730392830837
"Q96JN0_IDR_1_345",0.460594162982133
"Q96JN0_IDR_388_433",0.539405837017867
"Q96JN2_IDR_141_303",0.196213128681208
"Q96JN2_IDR_1_89",0.203521965592677
"Q96JN2_IDR_326_382",0.206061798801021
"Q96JN2_IDR_552_869",0.19100715715618
"Q96JN2_IDR_942_1127",0.203195949768914
"Q96JN8_IDR_1088_1124",0.464440851072683
"Q96JN8_IDR_1_39",0.535559148927317
"Q96JP5_IDR_1_309",1
"Q96JQ2_IDR_148_182",0.513484459629084
"Q96K76_IDR_424_461",0.325465463520833
"Q96K76_IDR_839_1026",0.344083530844142
"Q96K78_IDR_743_797",1
"Q96K80_IDR_1_434",1
"Q96K83_IDR_1_45",1
"Q96KA5_IDR_1_31",1
"Q96KC8_IDR_1_36",0.223204399099197
"Q96KC8_IDR_185_220",0.250955912436824
"Q96KC8_IDR_243_327",0.2458924904497
"Q96KC8_IDR_348_493",0.27994719801428
"Q96KC9_IDR_1_381",1
"Q96KD3_IDR_204_301",1
"Q96KE9_IDR_1_59",1
"Q96KG7_IDR_934_1140",1
"Q96KG9_IDR_543_808",1
"Q96KJ4_IDR_581_702",1
"Q96KJ9_IDR_1_45",1
"Q96KK3_IDR_2_40",0.492471078221064
"Q96KK3_IDR_476_526",0.507528921778936
"Q96KQ4_IDR_278_880",0.351986456261966
"Q96KQ7_IDR_1_419",0.530349818859394
"Q96KQ7_IDR_552_611",0.469650181140606
"Q96KR1_IDR_1038_1074",0.293312300271053
"Q96KR1_IDR_145_558",0.401184805330089
"Q96KR1_IDR_642_721",0.305502894398858
"Q96KR6_IDR_20_83",1
"Q96KR7_IDR_1_421",1
"Q96KS0_IDR_1_171",1
"Q96KS9_IDR_1_52",0.473060583933504
"Q96KS9_IDR_54_112",0.526939416066496
"Q96KT7_IDR_1_35",1
"Q96KW2_IDR_1_1035",1
"Q96KW9_IDR_22_162",1
"Q96L03_IDR_148_251",1
"Q96L12_IDR_350_384",1
"Q96L34_IDR_1_52",0.483620088847795
"Q96L34_IDR_372_666",0.516379911152205
"Q96L42_IDR_676_1107",1
"Q96L46_IDR_1_36",1
"Q96LL4_IDR_134_167",0.496928847094544
"Q96LL4_IDR_1_75",0.503071152905456
"Q96LL9_IDR_116_226",1
"Q96LM5_IDR_105_156",1
"Q96LP6_IDR_111_360",0.338220673085557
"Q96LP6_IDR_1_31",0.331456363524891
"Q96LP6_IDR_42_84",0.330322963389553
"Q96LQ0_IDR_383_422",1
"Q96LR2_IDR_101_219",1
"Q96LR4_IDR_1_43",1
"Q96LR7_IDR_1_65",1
"Q96LT4_IDR_86_173",1
"Q96LT9_IDR_103_134",0.337441322136097
"Q96LT9_IDR_200_325",0.322465582374357
"Q96LT9_IDR_327_384",0.340093095489546
"Q96LU7_IDR_572_616",0.250454910694837
"Q96LU7_IDR_654_694",0.246228505303743
"Q96LU7_IDR_718_752",0.257233536880529
"Q96LU7_IDR_77_208",0.246083047120892
"Q96LW1_IDR_67_213",1
"Q96M53_IDR_103_224",0.337005377981329
"Q96M53_IDR_1_101",0.353114904656759
"Q96M53_IDR_254_351",0.309879717361912
"Q96M60_IDR_106_145",0.496667048118417
"Q96M60_IDR_310_376",0.503332951881583
"Q96M61_IDR_1_103",1
"Q96M63_IDR_432_670",1
"Q96M69_IDR_1_99",0.494743788516627
"Q96M69_IDR_603_825",0.505256211483373
"Q96M83_IDR_1_1385",1
"Q96M86_IDR_1_46",0.241663217974707
"Q96M86_IDR_233_268",0.25749293440799
"Q96M86_IDR_2687_2784",0.237509700374626
"Q96M86_IDR_3586_3651",0.263334147242676
"Q96M89_IDR_1_199",0.502002069673601
"Q96M89_IDR_302_401",0.497997930326399
"Q96M93_IDR_1_77",1
"Q96M96_IDR_1_203",1
"Q96M98_IDR_1_66",1
"Q96MA1_IDR_24_342",1
"Q96MK2_IDR_319_610",0.469220337970889
"Q96MK3_IDR_30_93",1
"Q96MM3_IDR_1_45",0.515438133297462
"Q96MM3_IDR_79_110",0.484561866702538
"Q96MM6_IDR_1_55",1
"Q96MM7_IDR_1_83",0.496826006784705
"Q96MM7_IDR_508_600",0.503173993215295
"Q96MN9_IDR_1_275",0.484571784481185
"Q96MN9_IDR_283_318",0.515428215518815
"Q96MP5_IDR_437_478",1
"Q96MP8_IDR_1_45",1
"Q96MR6_IDR_1166_1250",1
"Q96MR9_IDR_67_215",1
"Q96MS0_IDR_1035_1322",0.342677331215319
"Q96MS0_IDR_1334_1386",0.35683487688351
"Q96MS0_IDR_971_1018",0.30048779190117
"Q96MT1_IDR_580_663",1
"Q96MT3_IDR_307_827",1
"Q96MT7_IDR_1_100",0.198852652820417
"Q96MT7_IDR_704_737",0.192535524996612
"Q96MV8_IDR_300_337",1
"Q96MW1_IDR_137_224",1
"Q96MW5_IDR_558_612",1
"Q96MW7_IDR_552_591",1
"Q96MX3_IDR_1_478",0.512004231673013
"Q96MX3_IDR_485_542",0.487995768326987
"Q96MY1_IDR_1_184",0.482298504665169
"Q96MY1_IDR_247_397",0.517701495334831
"Q96MY7_IDR_1_529",0.493712114634623
"Q96MY7_IDR_582_647",0.506287885365377
"Q96MZ0_IDR_1_39",1
"Q96N03_IDR_174_204",1
"Q96N06_IDR_1_82",0.525988573815935
"Q96N06_IDR_93_139",0.474011426184065
"Q96N16_IDR_211_510",1
"Q96N19_IDR_326_380",1
"Q96N20_IDR_48_158",1
"Q96N21_IDR_136_249",0.535225818880114
"Q96N21_IDR_333_525",0.464774181119886
"Q96N22_IDR_44_139",1
"Q96N23_IDR_1240_1286",0.242056204210905
"Q96N23_IDR_1380_1443",0.259319666082467
"Q96N23_IDR_1_45",0.249518618544232
"Q96N23_IDR_1543_1604",0.249105511162396
"Q96N46_IDR_430_744",1
"Q96N64_IDR_1_637",1
"Q96N67_IDR_1381_1463",0.34197795947298
"Q96N67_IDR_414_455",0.331101660060955
"Q96N67_IDR_860_909",0.326920380466065
"Q96N77_IDR_1_117",0.513990279212694
"Q96NA8_IDR_198_231",0.243754603537977
"Q96NA8_IDR_366_419",0.241953953552929
"Q96NB1_IDR_118_174",1
"Q96NB3_IDR_328_360",0.476092437658153
"Q96NB3_IDR_72_287",0.523907562341847
"Q96NC0_IDR_148_199",1
"Q96ND0_IDR_65_118",1
"Q96ND8_IDR_60_211",1
"Q96NE9_IDR_326_548",1
"Q96NG3_IDR_542_672",1
"Q96NG5_IDR_1_32",0.48768013235361
"Q96NG5_IDR_87_160",0.51231986764639
"Q96NG8_IDR_66_170",1
"Q96NH3_IDR_130_166",1
"Q96NI6_IDR_556_719",1
"Q96NI8_IDR_69_170",1
"Q96NJ6_IDR_1_140",1
"Q96NK8_IDR_1_109",0.566557592441132
"Q96NK8_IDR_167_203",0.433442407558868
"Q96NL0_IDR_227_280",0.523623067708269
"Q96NL0_IDR_283_473",0.476376932291731
"Q96NL1_IDR_1_238",0.489411917264884
"Q96NL1_IDR_243_275",0.510588082735116
"Q96NL3_IDR_62_197",1
"Q96NL6_IDR_1_63",0.507134902150365
"Q96NL6_IDR_69_133",0.492865097849635
"Q96NL8_IDR_19_60",1
"Q96NM4_IDR_297_460",0.471518756443685
"Q96NM4_IDR_53_258",0.528481243556315
"Q96NN9_IDR_23_62",1
"Q96NX5_IDR_321_468",1
"Q96NX9_IDR_162_442",0.296453603284132
"Q96NX9_IDR_1_63",0.379128020966164
"Q96NX9_IDR_512_599",0.324418375749703
"Q96NY7_IDR_1_459",1
"Q96NY8_IDR_366_477",1
"Q96NY9_IDR_219_257",0.483406731662739
"Q96NY9_IDR_87_127",0.516593268337261
"Q96NZ1_IDR_1_189",0.511330073344371
"Q96NZ1_IDR_288_421",0.488669926655629
"Q96NZ9_IDR_1_151",1
"Q96P16_IDR_131_162",1
"Q96P26_IDR_104_242",0.380817509767936
"Q96P26_IDR_1_47",0.316316797514162
"Q96P26_IDR_244_277",0.302865692717902
"Q96P31_IDR_602_640",0.497042679193818
"Q96P31_IDR_700_734",0.502957320806182
"Q96P44_IDR_415_957",1
"Q96P47_IDR_255_369",0.50611840971097
"Q96P47_IDR_428_567",0.49388159028903
"Q96PD2_IDR_1_68",0.32101703991567
"Q96PD2_IDR_453_560",0.324748685513963
"Q96PD2_IDR_689_731",0.354234274570367
"Q96PD4_IDR_1_49",1
"Q96PD7_IDR_1_44",1
"Q96PE1_IDR_1088_1325",0.480985074284755
"Q96PE1_IDR_1_32",0.253378898539803
"Q96PE1_IDR_951_1010",0.265636027175442
"Q96PE2_IDR_1_1062",0.285933473522832
"Q96PE2_IDR_1561_1607",0.251657801246217
"Q96PE2_IDR_1616_1727",0.238012339365521
"Q96PE2_IDR_1984_2020",0.22439638586543
"Q96PE3_IDR_1_39",0.49690195742823
"Q96PE3_IDR_472_621",0.50309804257177
"Q96PE5_IDR_58_98",1
"Q96PE6_IDR_63_168",1
"Q96PF2_IDR_275_358",1
"Q96PG1_IDR_1_32",1
"Q96PG2_IDR_1_53",1
"Q96PU5_IDR_226_401",0.319668864476069
"Q96PU5_IDR_415_494",0.342346344350113
"Q96PU8_IDR_183_284",0.507871581604418
"Q96PU8_IDR_290_341",0.492128418395583
"Q96PV0_IDR_727_1343",0.485637445534577
"Q96PV0_IDR_90_174",0.514362554465423
"Q96PV4_IDR_334_442",1
"Q96PV6_IDR_125_235",0.189047305081641
"Q96PV6_IDR_14_78",0.161029881606628
"Q96PV6_IDR_237_285",0.166570040763534
"Q96PV6_IDR_344_540",0.483352772548197
"Q96PX1_IDR_327_630",0.508294145548861
"Q96PX1_IDR_645_679",0.491705854451139
"Q96PX6_IDR_1_55",0.299690346683611
"Q96PX6_IDR_176_553",0.395625456728088
"Q96PX6_IDR_59_140",0.304684196588301
"Q96PX9_IDR_1116_1271",0.348177488352034
"Q96PX9_IDR_1_184",0.329908153714868
"Q96PX9_IDR_574_801",0.321914357933098
"Q96PY6_IDR_269_1032",0.596978706071821
"Q96Q91_IDR_1_51",0.257786052550852
"Q96Q91_IDR_177_227",0.244479761470947
"Q96Q91_IDR_341_375",0.253083697682643
"Q96Q91_IDR_944_976",0.244650488295558
"Q96QB1_IDR_1_806",0.542347579134783
"Q96QB1_IDR_811_1017",0.457652420865217
"Q96QC0_IDR_148_398",0.270837061559894
"Q96QC0_IDR_522_585",0.204669279607574
"Q96QC0_IDR_649_679",0.260416774446001
"Q96QC0_IDR_681_907",0.264076884386531
"Q96QD8_IDR_1_70",1
"Q96QD9_IDR_1_37",0.301579142844494
"Q96QD9_IDR_236_268",0.306037732447361
"Q96QD9_IDR_40_227",0.392383124708145
"Q96QE2_IDR_1_75",1
"Q96QE3_IDR_1089_1122",0.138801020256709
"Q96QE3_IDR_1_322",0.139691337601788
"Q96QE3_IDR_333_867",0.151357353769548
"Q96QE3_IDR_879_932",0.128013162512544
"Q96QE3_IDR_973_1049",0.151922149924467
"Q96QT6_IDR_293_733",0.233100572411569
"Q96QT6_IDR_973_1004",0.24458488181712
"Q96QU1_IDR_1398_1955",1
"Q96QU4_IDR_1_170",1
"Q96QU6_IDR_1_59",1
"Q6IQ49_IDR_126_159",0.484664820725213
"Q6IQ49_IDR_177_379",0.515335179274787
"Q6IQ55_IDR_300_553",0.525997507307943
"Q6L8Q7_IDR_1_33",1
"Q6L9W6_IDR_415_619",1
"Q6MZM9_IDR_1_219",1
"Q6MZP7_IDR_1_187",0.237622456222429
"Q6MZP7_IDR_189_341",0.262599491775446
"Q6MZP7_IDR_367_522",0.249825402770119
"Q6MZP7_IDR_644_680",0.249952649232006
"Q6MZQ0_IDR_1_48",0.33439838293465
"Q6MZQ0_IDR_179_212",0.339647669195687
"Q6MZQ0_IDR_216_368",0.325953947869663
"Q6NT76_IDR_230_269",0.291532406017807
"Q6NT76_IDR_332_420",0.323313236965007
"Q6NT89_IDR_1_114",0.514174656092563
"Q6NT89_IDR_137_227",0.485825343907437
"Q6NTE8_IDR_64_323",1
"Q6NTF9_IDR_237_364",1
"Q6NUI6_IDR_707_762",1
"Q6NUJ2_IDR_1_197",1
"Q6NUJ5_IDR_411_474",0.472051042054178
"Q6NUJ5_IDR_56_407",0.527948957945822
"Q6NXT2_IDR_1_39",1
"Q6NXT4_IDR_340_408",1
"Q6NXT6_IDR_1_65",0.525550193335117
"Q6NXT6_IDR_465_551",0.474449806664884
"Q6NY19_IDR_1_50",0.331164849857716
"Q6NY19_IDR_57_544",0.324163541449808
"Q6NY19_IDR_790_840",0.344671608692476
"Q6NYC1_IDR_330_403",1
"Q6NYC8_IDR_1_613",1
"Q6NZ36_IDR_1_42",0.498729401002561
"Q6P1M9_IDR_1_281",1
"Q6P1N0_IDR_1_497",0.495156198427299
"Q6P1N0_IDR_814_854",0.504843801572701
"Q6P1Q0_IDR_1_73",1
"Q6P1Q9_IDR_119_166",1
"Q6P1R3_IDR_1_101",0.34454604022101
"Q6P1R3_IDR_205_285",0.318901580417417
"Q6P1R3_IDR_435_466",0.336552379361573
"Q6P1R4_IDR_343_410",0.506943415213099
"Q6P1R4_IDR_417_473",0.493056584786901
"Q6P3S6_IDR_373_638",0.538028490680817
"Q6P3V2_IDR_42_74",1
"Q6P3W7_IDR_612_929",1
"Q6P3X3_IDR_294_325",1
"Q6P3X8_IDR_1_109",1
"Q6P444_IDR_323_385",0.519703060794947
"Q6P444_IDR_87_269",0.480296939205053
"Q6P499_IDR_336_406",1
"Q6P4A8_IDR_1_31",1
"Q6P5X7_IDR_248_295",0.500229981075072
"Q6P5Z2_IDR_429_552",0.506532020752604
"Q6P5Z2_IDR_60_146",0.493467979247396
"Q6P6B1_IDR_1_374",1
"Q6P6C2_IDR_1_80",0.540769420437442
"Q6P6C2_IDR_288_394",0.459230579562558
"Q6P988_IDR_1_47",1
