"","GO0006357_regulation_of_transcription_by_RNA_polymerase_II"
"I6L899_IDR_1_116",0.32099836098282
"I6L899_IDR_183_214",0.373186764647198
"I6L899_IDR_271_608",0.305814874369982
"K7EJ46_IDR_47_83",1
"O00180_IDR_282_336",1
"O00189_IDR_149_181",1
"O00192_IDR_1_352",0.347106025328998
"O00192_IDR_589_651",0.30856758780897
"O00192_IDR_851_956",0.344326386862031
"O00193_IDR_1_183",1
"O00203_IDR_1_40",0.503018514117104
"O00203_IDR_646_856",0.496981485882896
"O00204_IDR_312_365",1
"O00213_IDR_1_252",0.583150524285512
"O00305_IDR_164_219",0.345056453198232
"O00305_IDR_1_67",0.262548659226896
"O00305_IDR_406_520",0.392394887574872
"O00308_IDR_149_312",0.566279640557774
"O00308_IDR_355_403",0.433720359442226
"O00311_IDR_1_38",0.310889905707964
"O00321_IDR_1_236",1
"O00311_IDR_203_348",0.329372221201553
"O00311_IDR_470_532",0.359737873090484
"O00327_IDR_1_77",0.31693807141284
"O00459_IDR_260_322",1
"O00461_IDR_1_696",1
"O00469_IDR_1_31",1
"O00470_IDR_177_290",0.392293316588912
"O00470_IDR_1_77",0.607706683411088
"O00471_IDR_373_406",1
"O00472_IDR_126_209",0.411695886875828
"O00472_IDR_290_524",0.588304113124172
"O00478_IDR_518_556",1
"O00479_IDR_1_90",1
"O00566_IDR_516_627",0.348744466951126
"O00566_IDR_649_681",0.3705759457318
"O00567_IDR_434_594",1
"O00570_IDR_1_391",1
"O00571_IDR_1_139",1
"O00585_IDR_93_134",1
"O00587_IDR_1_48",1
"O00590_IDR_338_384",1
"O00591_IDR_1_34",0.522044319652386
"O00591_IDR_338_390",0.477955680347614
"A1A5C7_IDR_633_686",0.486122239056493
"A1A5D9_IDR_258_367",0.256730337858638
"A1A5D9_IDR_369_401",0.251789607764501
"A1A5D9_IDR_452_497",0.22628906470501
"A1E959_IDR_1_279",1
"A1KXE4_IDR_1_195",1
"A1KZ92_IDR_1306_1358",1
"A1L020_IDR_1_129",1
"A1L0T0_IDR_1_32",1
"A1L162_IDR_116_156",0.498305979757784
"A1L162_IDR_1_63",0.501694020242216
"A1L170_IDR_1_272",1
"A1L390_IDR_1050_1126",0.192079356305236
"A1L390_IDR_1154_1219",0.22449686560513
"A1L390_IDR_1_89",0.221568571136438
"A1L390_IDR_412_905",0.156714711166715
"A1L390_IDR_937_1048",0.205140495786482
"A1L429_IDR_1_117",1
"A1L443_IDR_131_202",0.314765259670861
"A1L443_IDR_285_389",0.34778440285123
"A6H8Y1_IDR_1_2604",1
"Q9Y421_IDR_1_66",1
"Q9Y426_IDR_233_263",0.526928434496418
"Q9Y426_IDR_389_696",0.473071565503582
"Q9Y446_IDR_1_314",0.553177895297019
"Q9Y446_IDR_549_586",0.446822104702981
"Q9Y448_IDR_1_186",1
"Q9Y450_IDR_108_243",0.462911117346182
"Q9Y450_IDR_1_87",0.537088882653818
"Q9Y458_IDR_1_86",0.338383667337829
"Q9Y458_IDR_271_346",0.316591373170244
"Q9Y458_IDR_384_435",0.345024959491927
"Q9Y462_IDR_149_246",0.555897557631032
"Q9Y462_IDR_250_366",0.444102442368968
"Q9Y463_IDR_1_36",0.253469692955573
"Q9Y463_IDR_433_629",0.746530307044427
"Q9Y466_IDR_42_77",0.477747000006256
"Q9Y466_IDR_81_173",0.522252999993744
"Q9Y468_IDR_113_168",0.228012323748475
"Q9Y468_IDR_170_269",0.214853617960195
"Q9Y468_IDR_26_84",0.262843436524933
"Q9Y468_IDR_587_721",0.294290621766397
"Q9Y473_IDR_81_280",1
"Q9Y478_IDR_1_74",1
"Q9Y483_IDR_1_41",0.48558095899961
"Q9Y483_IDR_356_558",0.51441904100039
"Q9Y485_IDR_1246_1305",0.0940629527549926
"Q9Y485_IDR_1361_1395",0.0795783150339334
"Q9Y485_IDR_1889_1949",0.0959453074476326
"Q9Y485_IDR_1969_2018",0.0872390343226203
"Q9Y485_IDR_2366_2418",0.0851675523545678
"Q9Y485_IDR_2442_2480",0.0929921972357606
"Q9Y485_IDR_287_332",0.089799650819632
"Q9Y485_IDR_418_469",0.0947177189304304
"Q9Y485_IDR_557_589",0.0981658471298895
"Q9Y485_IDR_665_697",0.0948734416044183
"Q9Y485_IDR_897_934",0.0874579823661224
"Q9Y487_IDR_682_723",1
"Q9Y493_IDR_540_982",1
"Q9Y496_IDR_376_446",0.552309103019172
"Q9Y496_IDR_626_699",0.447690896980828
"Q9Y4A5_IDR_179_212",0.248909879718485
"Q9Y4A5_IDR_2024_2085",0.262352159468413
"Q9Y4A5_IDR_2545_2582",0.22833586142356
"Q9Y4A5_IDR_473_538",0.260402099389541
"Q9Y4A8_IDR_118_534",1
"Q9Y4B4_IDR_1124_1290",0.19570774317552
"Q9Y4B4_IDR_1_243",0.17705601000708
"Q9Y4B4_IDR_1301_1371",0.268126229622002
"Q9Y4B4_IDR_638_696",0.191205372221381
"Q9Y4B4_IDR_993_1052",0.167904644974017
"Q9Y4B5_IDR_1_1647",0.562059163393088
"Q9Y4B5_IDR_1650_1905",0.437940836606912
"Q9Y4B6_IDR_1393_1507",0.259514560562983
"Q9Y4B6_IDR_190_303",0.279216314931253
"Q9Y4B6_IDR_875_1000",0.461269124505764
"Q9Y4C1_IDR_251_518",0.44945884339231
"Q9Y4C1_IDR_755_907",0.550541156607691
"Q9Y4C5_IDR_81_162",1
"Q9Y4C8_IDR_134_289",0.236273384468226
"Q9Y4C8_IDR_665_726",0.295281248846972
"Q9Y4C8_IDR_82_128",0.21635208764152
"Q9Y4C8_IDR_925_960",0.252093279043283
"Q9Y4D1_IDR_1043_1078",0.365621266773853
"Q9Y4D1_IDR_511_606",0.290328311941596
"Q9Y4D1_IDR_997_1032",0.344050421284551
"Q9Y4D2_IDR_668_1042",1
"Q9Y4D7_IDR_1_46",1
"Q9Y4E1_IDR_1_43",0.60891801377442
"Q9Y4E1_IDR_56_1320",0.39108198622558
"Q9Y4E5_IDR_400_459",0.241468603728976
"Q9Y4E5_IDR_51_85",0.244385722188363
"Q9Y4E5_IDR_566_601",0.247614731404314
"Q9Y4E5_IDR_810_872",0.266530942678347
"Q9Y4E6_IDR_1061_1118",0.235177756764907
"Q9Y4E6_IDR_636_666",0.244855844392775
"Q9Y4E6_IDR_708_788",0.251325493348353
"Q9Y4E6_IDR_913_971",0.268640905493965
"Q9Y4E8_IDR_226_263",0.347026943601323
"Q9Y4E8_IDR_621_707",0.366399273480675
"Q9Y4E8_IDR_937_981",0.286573782918002
"Q9Y4F1_IDR_1_35",0.292007744207057
"Q9Y4F1_IDR_355_535",0.368851670568085
"Q9Y4F1_IDR_864_906",0.339140585224858
"Q9Y4F3_IDR_1564_1725",0.376982709423796
"Q9Y4F3_IDR_311_344",0.339478785626571
"Q9Y4F3_IDR_585_730",0.283538504949633
"Q9Y4F4_IDR_1434_1483",0.252644183621728
"Q9Y4F4_IDR_1_88",0.256439209161831
"Q9Y4F4_IDR_312_344",0.270654982898575
"Q9Y4F4_IDR_616_1247",0.220261624317866
"Q9Y4F9_IDR_1_69",0.612544698575939
"Q9Y4F9_IDR_321_730",0.387455301424062
"Q9Y4G2_IDR_205_517",1
"Q9Y4G6_IDR_2328_2360",1
"Q9Y4G8_IDR_1_100",0.235286965859588
"Q9Y4G8_IDR_481_590",0.334432518657454
"Q9Y4G8_IDR_913_1499",0.430280515482958
"Q9Y4H2_IDR_1261_1317",0.346311040580718
"Q9Y4H2_IDR_148_182",0.313274052019185
"Q9Y4H2_IDR_299_1246",0.340414907400098
"Q9Y4H4_IDR_1_103",1
"Q9Y4I1_IDR_1036_1360",0.338901962498225
"Q9Y4I1_IDR_1422_1473",0.321719213489956
"Q9Y4I1_IDR_596_631",0.339378824011818
"Q9Y4I5_IDR_1_301",0.576026429193345
"Q9Y4I5_IDR_406_444",0.423973570806654
"Q9Y4J8_IDR_275_410",0.377965828286597
"Q9Y4J8_IDR_418_743",0.622034171713403
"Q9Y4K3_IDR_1_51",1
"Q9Y4L1_IDR_566_694",0.479337116672237
"Q9Y4L1_IDR_910_999",0.520662883327763
"Q9Y4L5_IDR_87_138",1
"Q9Y4P3_IDR_34_75",1
"Q9Y4P8_IDR_378_454",1
"Q9Y4P9_IDR_116_179",1
"Q9Y4R7_IDR_43_80",0.407957069587972
"Q9Y4R7_IDR_542_742",0.592042930412028
"Q9Y4R8_IDR_442_494",1
"Q9Y4U1_IDR_238_282",1
"Q9Y4W2_IDR_195_256",0.324461815265251
"Q9Y4W2_IDR_511_624",0.319848117511117
"Q9Y4W2_IDR_679_714",0.355690067223632
"Q9Y4W6_IDR_763_797",0.519683298154296
"Q9Y4W6_IDR_78_134",0.480316701845704
"Q9Y4X0_IDR_1_122",1
"Q9Y4X4_IDR_1_312",1
"Q9Y4X5_IDR_1_95",1
"Q9Y4Z0_IDR_85_139",1
"Q9Y4Z2_IDR_145_214",0.495834457701429
"Q9Y4Z2_IDR_1_93",0.504165542298571
"Q9Y512_IDR_1_33",1
"Q9Y519_IDR_1_34",0.454768148835846
"Q9Y519_IDR_369_407",0.545231851164154
"Q9Y534_IDR_1_64",1
"Q9Y543_IDR_126_166",1
"Q9Y546_IDR_371_413",1
"Q9Y548_IDR_1_72",1
"Q9Y561_IDR_527_774",0.37584580886004
"Q9Y561_IDR_781_816",0.624154191139959
"Q9Y566_IDR_1_67",0.36549800981874
"Q9Y566_IDR_416_547",0.223176260860996
"Q9Y566_IDR_758_2087",0.411325729320264
"Q9Y570_IDR_1_38",0.532210764625216
"Q9Y570_IDR_239_281",0.467789235374785
"Q9Y572_IDR_309_428",0.47458787736241
"Q9Y572_IDR_473_518",0.52541212263759
"Q9Y580_IDR_86_266",1
"Q9Y581_IDR_53_170",1
"Q9Y584_IDR_36_66",1
"Q9Y592_IDR_1_32",0.506341213749919
"Q9Y592_IDR_618_701",0.493658786250081
"Q9Y597_IDR_602_815",1
"Q9Y5A6_IDR_128_275",1
"Q9Y5A7_IDR_529_569",1
"Q9Y5A9_IDR_1_50",0.257213903806756
"Q9Y5A9_IDR_197_239",0.236750660063326
"Q9Y5A9_IDR_245_389",0.506035436129918
"Q9Y5B0_IDR_334_586",0.326408053453101
"Q9Y5B0_IDR_730_961",0.673591946546899
"Q9Y5B6_IDR_1_385",0.760601871053101
"Q9Y5B6_IDR_498_563",0.239398128946899
"Q9Y5B9_IDR_436_478",0.400612404750761
"Q9Y5B9_IDR_927_1047",0.599387595249239
"Q9Y5C1_IDR_16_53",0.478991297291701
"Q9Y5C1_IDR_188_239",0.521008702708299
"Q9Y5F3_IDR_782_818",1
"Q9Y5F6_IDR_795_828",1
"Q9Y5G0_IDR_768_802",1
"Q9Y5G3_IDR_768_804",1
"Q9Y5G5_IDR_782_815",1
"Q9Y5G8_IDR_782_813",1
"Q9Y5G9_IDR_1_50",1
"Q9Y5I4_IDR_1_37",0.305411800726454
"Q9Y5I4_IDR_814_859",0.416452733159063
"Q9Y5I4_IDR_957_1007",0.278135466114484
"Q9Y5J1_IDR_1_137",1
"Q9Y5J3_IDR_1_62",0.242748860209046
"Q9Y5J3_IDR_167_290",0.757251139790954
"Q9Y5J6_IDR_70_103",1
"Q9Y5K3_IDR_1_57",0.364320204901747
"Q9Y5K3_IDR_305_369",0.635679795098253
"Q9Y5K6_IDR_168_295",0.307294524375463
"Q9Y5K6_IDR_310_581",0.328394199413531
"Q9Y5K6_IDR_63_108",0.364311276211006
"Q9Y5K8_IDR_208_247",1
"Q9Y5L2_IDR_32_63",1
"Q9Y5N1_IDR_230_351",1
"Q9Y5N6_IDR_188_227",1
"Q9Y5P3_IDR_1_518",1
"Q9Y5P4_IDR_118_177",0.351902235310169
"Q9Y5P4_IDR_184_235",0.338133777137357
"Q9Y5P4_IDR_276_401",0.309963987552474
"Q9Y5P8_IDR_42_123",0.506219610345929
"Q9Y5P8_IDR_519_553",0.493780389654071
"Q9Y5Q3_IDR_1_209",1
"Q9Y5Q5_IDR_1_72",0.438116190631274
"Q9Y5Q5_IDR_82_135",0.561883809368726
"Q9Y5Q6_IDR_50_114",1
"Q9Y5Q8_IDR_343_385",0.532554089203108
"Q9Y5Q8_IDR_464_519",0.467445910796892
"Q9Y5Q9_IDR_25_142",1
"Q9Y5R2_IDR_1_75",0.519707411956957
"Q9Y5R2_IDR_331_374",0.480292588043043
"Q9Y5R5_IDR_1_509",1
"Q9Y5R6_IDR_1_373",1
"Q9Y5S1_IDR_1_70",0.491911998984851
"Q9Y5S1_IDR_726_764",0.508088001015149
"Q9Y5S2_IDR_1609_1711",0.364053561420233
"Q9Y5S2_IDR_352_400",0.216864798615411
"Q9Y5S2_IDR_406_528",0.167446565977783
"Q9Y5S2_IDR_924_1033",0.251635073986573
"Q9Y5S9_IDR_1_65",1
"Q9Y5T4_IDR_1_32",1
"Q9Y5T5_IDR_144_189",0.541220567721985
"Q9Y5T5_IDR_385_606",0.458779432278015
"Q9Y5U2_IDR_105_157",0.309226439697649
"Q9Y5U2_IDR_1_76",0.320134446093682
"Q9Y5U2_IDR_218_329",0.37063911420867
"Q9Y5U5_IDR_191_241",1
"Q9Y5V0_IDR_1_35",1
"Q9Y5V3_IDR_1_467",1
"Q9Y5W3_IDR_118_263",0.68671396534718
"Q9Y5W3_IDR_53_112",0.31328603465282
"Q9Y5W5_IDR_1_32",0.458398830967587
"Q9Y5W5_IDR_348_379",0.541601169032413
"Q9Y5W7_IDR_2_60",0.455501588087045
"Q9Y5W7_IDR_473_538",0.260382569233024
"Q9Y5W7_IDR_733_778",0.28411584267993
"Q9Y5W9_IDR_158_270",1
"Q9Y5X0_IDR_153_201",1
"Q9Y5X1_IDR_72_207",1
"Q9Y5X2_IDR_1_59",1
"Q9Y5X4_IDR_113_212",0.637654419124934
"Q9Y5X4_IDR_1_40",0.362345580875066
"Q9Y5Y0_IDR_1_97",0.463891411778811
"Q9Y5Y0_IDR_518_555",0.536108588221189
"Q9Y5Y3_IDR_230_260",1
"Q9Y5Y4_IDR_330_395",1
"Q9Y5Y5_IDR_137_211",1
"Q9Y5Y7_IDR_132_321",1
"Q9Y5Y9_IDR_1003_1088",0.219825121191662
"Q9Y5Y9_IDR_1872_1956",0.185481676482108
"Q9Y5Y9_IDR_411_595",0.192538366855327
"Q9Y5Y9_IDR_939_986",0.402154835470904
"Q9Y5Z6_IDR_1_45",1
"Q9Y5Z7_IDR_396_587",1
"Q9Y5Z9_IDR_1_42",1
"Q9Y603_IDR_125_218",0.512263233804849
"Q9Y603_IDR_1_31",0.487736766195151
"Q9Y606_IDR_1_80",1
"Q9Y608_IDR_1_403",0.526807659581053
"Q9Y608_IDR_532_630",0.473192340418947
"Q9Y613_IDR_1002_1105",0.336323266159455
"Q9Y613_IDR_337_534",0.353177457090065
"Q9Y613_IDR_581_623",0.310499276750481
"Q9Y614_IDR_1_45",1
"Q9Y615_IDR_1_43",1
"Q9Y616_IDR_105_146",0.550418218320488
"Q9Y616_IDR_448_596",0.449581781679512
"Q9Y618_IDR_1_2514",1
"Q9Y620_IDR_1_120",1
"Q9Y624_IDR_266_299",1
"Q9Y625_IDR_342_378",0.333142292251756
"Q9Y625_IDR_424_473",0.32237108876832
"Q9Y625_IDR_476_555",0.344486618979924
"Q9Y639_IDR_365_398",1
"Q9Y644_IDR_1_52",1
"Q9Y651_IDR_74_242",1
"Q9Y657_IDR_1_51",1
"Q9Y661_IDR_65_192",1
"Q9Y662_IDR_1_133",1
"Q9Y663_IDR_1_147",1
"Q9Y666_IDR_12_76",0.377236810175358
"Q9Y666_IDR_932_1014",0.622763189824642
"Q9Y673_IDR_1_39",1
"Q9Y675_IDR_1_40",1
"Q9Y676_IDR_228_258",1
"Q9Y679_IDR_263_293",0.49959658571802
"Q9Y679_IDR_342_382",0.50040341428198
"Q9Y691_IDR_1_40",1
"Q9Y692_IDR_162_407",0.503007791475978
"Q9Y692_IDR_56_87",0.496992208524022
"Q9Y697_IDR_1_53",1
"Q9Y698_IDR_210_262",1
"Q9Y6A5_IDR_1_648",1
"Q9Y6B2_IDR_1_101",1
"Q9Y6B7_IDR_576_619",1
"Q9Y6C2_IDR_123_406",0.191535837600194
"Q9Y6C2_IDR_463_493",0.192660007660209
"Q9Y6C2_IDR_549_598",0.182994040312578
"Q9Y6C2_IDR_601_731",0.220155804458955
"Q9Y6C2_IDR_784_864",0.212654309968063
"Q9Y6C5_IDR_1125_1203",0.483542371362996
"Q9Y6C5_IDR_621_658",0.516457628637004
"Q9Y6D5_IDR_1016_1064",0.232090885213574
"Q9Y6D5_IDR_1493_1559",0.253652272673283
"Q9Y6D5_IDR_206_365",0.250055766968779
"Q9Y6D5_IDR_585_632",0.264201075144364
"Q9Y6D6_IDR_1072_1118",0.204932331053668
"Q9Y6D6_IDR_1545_1636",0.192233265933569
"Q9Y6D6_IDR_216_414",0.380485508623013
"Q9Y6D6_IDR_634_687",0.22234889438975
"Q9Y6D9_IDR_1_72",1
"Q9Y6E0_IDR_344_397",1
"Q9Y6F1_IDR_1_38",1
"Q9Y6F7_IDR_60_279",1
"Q9Y6F8_IDR_182_280",0.370611369189728
"Q9Y6F8_IDR_60_174",0.629388630810272
"Q9Y6G9_IDR_1_44",0.350544491553903
"Q9Y6G9_IDR_342_378",0.325855190916135
"Q9Y6G9_IDR_384_523",0.323600317529962
"Q9Y6H1_IDR_1_110",1
"Q9Y6H3_IDR_1_41",1
"Q9Y6H5_IDR_1_70",0.245318947364313
"Q9Y6H5_IDR_550_622",0.290104410207363
"Q9Y6H5_IDR_626_919",0.220299994359026
"Q9Y6H5_IDR_72_143",0.244276648069299
"Q9Y6H6_IDR_29_63",1
"Q9Y6H8_IDR_104_136",0.307977783401573
"Q9Y6H8_IDR_236_435",0.692022216598427
"Q9Y6I3_IDR_138_576",1
"Q9Y6I4_IDR_120_153",1
"Q9Y6I9_IDR_198_313",1
"Q9Y6J0_IDR_1301_1498",0.387964874953951
"Q9Y6J0_IDR_1668_2220",0.248897572544817
"Q9Y6J0_IDR_290_406",0.133858971579512
"Q9Y6J0_IDR_421_464",0.22927858092172
"Q9Y6J9_IDR_377_448",0.48793168306566
"Q9Y6J9_IDR_450_546",0.51206831693434
"Q9Y6K1_IDR_1_286",1
"Q9Y6K5_IDR_363_396",1
"Q9Y6K8_IDR_323_367",1
"Q9Y6K9_IDR_1_59",0.438742203552411
"Q9Y6K9_IDR_343_391",0.561257796447589
"Q9Y6L6_IDR_128_165",0.346590224450291
"Q9Y6L6_IDR_284_315",0.326522208701307
"Q9Y6L6_IDR_650_691",0.326887566848402
"Q9Y6L7_IDR_1_62",0.504222423614662
"Q9Y6L7_IDR_69_154",0.495777576385338
"Q9Y6M0_IDR_1_35",1
"Q9Y6M1_IDR_158_190",1
"Q9Y6M4_IDR_1_35",0.330875904964532
"Q9Y6M4_IDR_332_427",0.669124095035468
"Q9Y6M5_IDR_145_245",0.628986616506901
"Q9Y6M5_IDR_451_492",0.371013383493099
"Q9Y6M7_IDR_1184_1214",0.184637656055121
"Q9Y6M7_IDR_1_31",0.276255679263996
"Q9Y6M7_IDR_216_410",0.286940208217187
"Q9Y6M7_IDR_52_86",0.252166456463696
"Q9Y6N1_IDR_1_98",1
"Q9Y6N5_IDR_1_39",1
"Q9Y6N7_IDR_1044_1651",0.77855389264572
"Q9Y6N7_IDR_982_1040",0.22144610735428
"Q9Y6N8_IDR_1_45",1
"Q9Y6N9_IDR_315_436",1
"Q9Y6P5_IDR_1_37",0.518484432578518
"Q9Y6P5_IDR_282_325",0.481515567421482
"Q9Y6Q2_IDR_13_169",0.55748472586797
"Q9Y6Q2_IDR_189_226",0.44251527413203
"Q9Y6Q3_IDR_83_291",1
"Q9Y6Q6_IDR_304_374",0.324610241774551
"Q9Y6Q6_IDR_436_523",0.356435266403927
"Q9Y6Q6_IDR_555_616",0.318954491821522
"Q9Y6Q9_IDR_1_36",0.187565633120919
"Q9Y6Q9_IDR_372_1420",0.812434366879081
"Q9Y6R0_IDR_1_40",0.591224695043009
"Q9Y6R0_IDR_201_577",0.408775304956991
"Q9Y6R1_IDR_1009_1044",0.219330605212105
"Q9Y6R1_IDR_211_270",0.288863770965786
"Q9Y6R1_IDR_38_83",0.234578843733343
"Q9Y6R1_IDR_399_433",0.257226780088766
"Q9Y6R4_IDR_1148_1289",0.297547555050558
"Q9Y6R4_IDR_1_217",0.422025800230044
"Q9Y6R4_IDR_430_505",0.280426644719398
"Q9Y6R6_IDR_59_163",1
"Q9Y6R9_IDR_231_487",1
"Q9Y6S9_IDR_1_42",0.51141371855978
"Q9Y6S9_IDR_235_378",0.48858628144022
"Q9Y6T7_IDR_383_424",0.494693496910191
"Q9Y6T7_IDR_89_128",0.505306503089809
"Q9Y6U7_IDR_1_56",1
"Q9Y6V0_IDR_1_2943",0.244053320825997
"Q9Y6V0_IDR_2946_4688",0.347143901170608
"Q9Y6V0_IDR_4828_4975",0.408802778003395
"Q9Y6V7_IDR_403_483",1
"Q9Y6W3_IDR_152_201",1
"Q9Y6W5_IDR_170_465",1
"Q9Y6W6_IDR_29_142",1
"Q9Y6W8_IDR_166_199",1
"O14490_IDR_1_787",0.764973141688422
"O14490_IDR_903_962",0.235026858311578
"O14492_IDR_377_408",0.322115030974797
"O14492_IDR_518_621",0.375236007753657
"O14492_IDR_83_132",0.302648961271546
"O14494_IDR_253_284",1
"O14495_IDR_1_32",0.425366644253595
"O14495_IDR_280_311",0.574633355746405
"O14497_IDR_1_1635",0.730404913451702
"O14497_IDR_1736_1963",0.269595086548298
"O14503_IDR_1_54",0.198183720907972
"O14503_IDR_184_330",0.424706629111201
"O14503_IDR_332_412",0.377109649980827
"O14511_IDR_1_96",0.282635646161585
"O14511_IDR_415_850",0.717364353838415
"O14512_IDR_1_384",1
"O14513_IDR_1_255",0.176165199966111
"O14513_IDR_258_467",0.187016230696903
"O14513_IDR_474_513",0.198664052622017
"O14545_IDR_136_167",0.211228713852741
"O14545_IDR_174_367",0.204313389958413
"O14545_IDR_388_582",0.290254836215215
"O14545_IDR_51_87",0.294203059973631
"O14556_IDR_22_72",1
"O14559_IDR_1_39",0.268775155407701
"O14559_IDR_255_309",0.290159215171943
"O14559_IDR_516_1268",0.441065629420356
"O14561_IDR_1_50",1
"O14562_IDR_1_82",1
"O14576_IDR_1_214",1
"O14578_IDR_1222_1395",0.494126752069459
"O14578_IDR_1904_2027",0.505873247930541
"O14594_IDR_1275_1311",0.517531376804468
"O14594_IDR_361_960",0.482468623195532
"O14595_IDR_1_34",1
"O14598_IDR_1_125",1
"O14602_IDR_113_144",1
"O14607_IDR_1_34",0.290442242453643
"O14646_IDR_1049_1122",0.207030396976364
"O14646_IDR_1_269",0.207404396302081
"O14646_IDR_1320_1411",0.214004087630831
"O14646_IDR_1503_1710",0.371561119090724
"O14647_IDR_1051_1127",0.157567542747677
"O14647_IDR_1_259",0.154252456608657
"O14647_IDR_1327_1463",0.243375642865374
"O14647_IDR_1557_1828",0.444804357778291
"O14649_IDR_254_394",1
"O14653_IDR_88_142",1
"O14654_IDR_1078_1235",0.14087347148725
"O14654_IDR_1_74",0.338516549956238
"O14654_IDR_338_703",0.199762499280883
"O14654_IDR_707_778",0.179313648889742
"O14654_IDR_786_918",0.141533830385886
"O14662_IDR_16_71",0.51694862312257
"O14662_IDR_188_223",0.48305137687743
"O14668_IDR_108_199",1
"O14669_IDR_139_174",1
"O14672_IDR_700_748",1
"O14745_IDR_250_358",0.517657636178585
"O14746_IDR_179_315",1
"O14753_IDR_39_104",1
"O14757_IDR_296_328",1
"O14763_IDR_175_332",0.492380032244808
"O14763_IDR_1_77",0.507619967755192
"O14764_IDR_1_35",0.49747344519402
"O14764_IDR_364_419",0.50252655480598
"O14770_IDR_177_291",0.249420420918056
"O14770_IDR_1_79",0.251874760317448
"O14770_IDR_331_366",0.192112866829359
"O14770_IDR_402_477",0.306591951935138
"O14771_IDR_128_314",1
"O14776_IDR_107_148",0.151774240765563
"O14776_IDR_154_371",0.17977677709846
"O14776_IDR_1_67",0.163850419737929
"O14776_IDR_373_428",0.182148248005141
"O14776_IDR_466_522",0.173753727470182
"O14776_IDR_574_654",0.148696586922725
"O14777_IDR_1_83",1
"O14901_IDR_1_392",0.549221233591225
"O14901_IDR_475_512",0.450778766408775
"O14905_IDR_1_53",1
"O14908_IDR_1_56",1
"O14917_IDR_821_974",0.456300377196884
"O14917_IDR_977_1095",0.543699622803116
"O14920_IDR_665_756",1
"O14924_IDR_1105_1447",0.207205682375168
"O14924_IDR_149_218",0.214595833863759
"O14924_IDR_401_434",0.191712777350315
"O14924_IDR_446_705",0.203097806017325
"O14924_IDR_843_959",0.183387900393434
"O14925_IDR_1_38",1
"O14931_IDR_169_201",1
"O14939_IDR_1_35",1
"O14944_IDR_1_57",1
"O14948_IDR_1_347",1
"O14964_IDR_221_777",1
"O14967_IDR_1_46",0.548564294241975
"O14967_IDR_496_610",0.451435705758025
"O15015_IDR_1_238",0.550601452152815
"O15015_IDR_657_782",0.449398547847185
"O15018_IDR_182_324",0.201128000915387
"O15018_IDR_423_501",0.177080421575618
"O15018_IDR_535_575",0.175506648046979
"O15018_IDR_676_719",0.176671196106683
"O15018_IDR_816_2616",0.269613733355334
"O15020_IDR_2082_2222",0.478487977595745
"O15020_IDR_2330_2390",0.521512022404255
"O15021_IDR_1099_1136",0.228590251939804
"O15021_IDR_1229_2623",0.163301100699292
"O15021_IDR_1_376",0.408729280063012
"O15021_IDR_874_1084",0.199379367297893
"O15027_IDR_1_1260",0.38883292788917
"O15027_IDR_1271_1385",0.323930637357132
"O15027_IDR_1570_1612",0.153103606664657
"O15027_IDR_1890_2357",0.134132828089041
"O15033_IDR_1_41",1
"O15034_IDR_53_164",0.315784943942561
"O15034_IDR_588_846",0.359023742752869
"O15055_IDR_1224_1255",0.225395589980875
"O15055_IDR_940_1126",0.231597550118755
"O15056_IDR_1418_1468",0.475453901297303
"O15056_IDR_984_1409",0.524546098702697
"O15060_IDR_120_341",1
"O15062_IDR_125_590",1
"O15063_IDR_1_64",0.344373289775606
"O15063_IDR_512_1070",0.655626710224394
"O15066_IDR_372_430",0.436371728855179
"O15066_IDR_694_747",0.563628271144821
"O15068_IDR_558_628",0.593476757379063
"O15068_IDR_956_1031",0.406523242620937
"O15069_IDR_1_1419",0.427108610574618
"O15069_IDR_1488_1522",0.572891389425382
"O15072_IDR_1052_1205",0.285795580023735
"O15072_IDR_1_31",0.228420124297329
"O15072_IDR_209_253",0.241916805608169
"O15072_IDR_996_1031",0.243867490070767
"O15075_IDR_147_180",0.199129307181856
"O15075_IDR_1_54",0.237035514473605
"O15085_IDR_1083_1354",0.155984697943511
"O15085_IDR_125_289",0.143509132357447
"O15085_IDR_1368_1417",0.181282831186495
"O15085_IDR_1452_1522",0.174684433807684
"O15085_IDR_492_712",0.177476065237204
"O15090_IDR_1022_1257",0.308538234651664
"O15090_IDR_1_1019",0.691461765348336
"O15091_IDR_70_111",1
"O15105_IDR_16_88",0.552007316421582
"O15105_IDR_220_250",0.447992683578418
"O15111_IDR_661_737",1
"O15117_IDR_1_506",0.536875246876627
"O15117_IDR_545_687",0.463124753123373
"O15119_IDR_304_743",0.502688098514077
"O15119_IDR_36_101",0.497311901485923
"O15123_IDR_1_32",0.318229645892659
"O15123_IDR_229_277",0.681770354107341
"O15126_IDR_1_85",1
"O15127_IDR_1_93",1
"O15130_IDR_1_47",1
"O15209_IDR_431_481",0.246816358064173
"O15209_IDR_562_634",0.407978442140089
"O15211_IDR_197_235",0.241361012176958
"O15211_IDR_393_426",0.261211245648457
"O15211_IDR_510_645",0.258468664415839
"O15211_IDR_735_777",0.238959077758746
"O15213_IDR_1_100",0.425829346395339
"O15213_IDR_529_610",0.574170653604661
"O15218_IDR_342_404",1
"O15226_IDR_1_161",1
