"","GO0000981_DNA_binding_transcription_factor_activity._RNA_polymerase_II_specific"
"Q9HCG8_IDR_656_908",0.286999386119979
"Q9HCJ5_IDR_129_202",0.281960657021937
"Q9HCJ5_IDR_1_72",0.336820946251701
"Q9HCJ5_IDR_483_513",0.381218396726363
"Q9HCJ6_IDR_1_38",0.446241906701884
"Q9HCJ6_IDR_383_419",0.553758093298116
"Q9HCK0_IDR_128_267",1
"Q9HCK1_IDR_1616_1856",0.297035979872123
"Q9HCK1_IDR_1862_2007",0.241860378450993
"Q9HCK1_IDR_2065_2354",0.196113534652365
"Q9HCK1_IDR_56_1610",0.264990107024519
"Q9HCK4_IDR_932_972",0.367779840850362
"Q9HCK4_IDR_982_1378",0.632220159149638
"Q9HCK8_IDR_1399_1439",0.220625484914779
"Q9HCK8_IDR_1_662",0.185615503697641
"Q9HCK8_IDR_1663_1736",0.214072751689036
"Q9HCK8_IDR_1967_2581",0.379686259698545
"Q9HCL0_IDR_725_915",0.409445831233541
"Q9HCL0_IDR_952_1083",0.590554168766459
"Q9HCL3_IDR_59_201",1
"Q9HCM1_IDR_1_1747",1
"Q9HCU0_IDR_344_388",0.423259004563189
"Q9HCU0_IDR_401_687",0.576740995436811
"Q9HCU4_IDR_2626_2917",1
"Q9HCU8_IDR_1_41",1
"Q9HCU9_IDR_1_53",0.481411724849823
"Q9HCU9_IDR_172_205",0.518588275150177
"Q9HCX3_IDR_52_125",1
"Q9HCX4_IDR_1_37",0.363012772532702
"Q9HCX4_IDR_736_775",0.326934029999739
"Q9HCX4_IDR_829_862",0.310053197467559
"Q9HCZ1_IDR_65_208",1
"Q9HD20_IDR_1_40",0.553951308508555
"Q9HD20_IDR_884_948",0.446048691491445
"Q9HD23_IDR_1_81",0.449004951348561
"Q9HD23_IDR_399_443",0.550995048651439
"Q9HD26_IDR_374_462",1
"Q9HD33_IDR_1_60",1
"Q9HD40_IDR_466_501",1
"Q9HD67_IDR_850_886",0.418187353186151
"Q9HD67_IDR_947_1167",0.581812646813849
"Q9NP62_IDR_151_213",1
"Q9NP64_IDR_130_241",0.594172814662945
"Q9NP64_IDR_93_128",0.405827185337055
"Q9NP66_IDR_1_102",0.529182090479384
"Q9NP66_IDR_181_220",0.470817909520617
"Q9NP70_IDR_1_447",1
"Q9NP71_IDR_1_43",0.314120501490819
"Q9NP71_IDR_189_666",0.685879498509181
"Q9NP74_IDR_211_242",0.197515695126014
"Q9NP74_IDR_246_406",0.304236712568066
"Q9NP74_IDR_450_551",0.287801533903928
"Q9NP74_IDR_92_209",0.210446058401992
"Q9NP79_IDR_164_260",1
"Q9NP80_IDR_138_186",0.341434128637653
"Q9NP80_IDR_217_286",0.321504504559228
"Q9NP80_IDR_294_353",0.337061366803119
"Q9NP84_IDR_1_41",1
"Q9NP85_IDR_1_99",0.328368781699493
"Q9NP85_IDR_352_383",0.671631218300507
"Q9NP95_IDR_20_55",1
"Q9NPD5_IDR_283_315",0.33680015775039
"Q9NPD5_IDR_649_702",0.334529266500556
"Q9NPD8_IDR_153_197",1
"Q9NPE2_IDR_133_251",0.502683635265814
"Q6PJI9_IDR_344_383",0.320601849901182
"Q6PJI9_IDR_497_528",0.384030813550219
"Q6PJI9_IDR_588_639",0.295367336548599
"Q6PJP8_IDR_1_115",0.30035841417497
"Q6PJP8_IDR_183_409",0.437412315128208
"Q6PJP8_IDR_412_697",0.262229270696822
"Q6PJQ5_IDR_93_188",1
"Q6PJT7_IDR_78_594",1
"Q6Q759_IDR_1083_1115",0.0991213007581898
"Q6Q759_IDR_1143_1219",0.153888504842003
"Q6Q759_IDR_1324_1379",0.150199685866714
"Q6Q759_IDR_1926_2028",0.109355009470947
"Q6Q759_IDR_880_932",0.0956770219772631
"Q6Q759_IDR_936_1012",0.0849677326941334
"Q6QHK4_IDR_124_161",0.498429522272959
"Q6QHK4_IDR_1_64",0.501570477727041
"Q6QNK2_IDR_825_874",1
"Q6QNY0_IDR_1_106",1
"Q6T4P5_IDR_398_539",0.161058487430421
"Q6T4P5_IDR_542_578",0.454116113759192
"Q6T4P5_IDR_606_718",0.179808331688907
"Q6T4R5_IDR_1_1651",1
"Q6TDP4_IDR_1_65",1
"Q6TDU7_IDR_290_365",1
"Q6TFL3_IDR_1_46",0.138599141277405
"Q6TFL3_IDR_344_374",0.105332139456322
"Q6TFL3_IDR_385_488",0.0994473303381291
"Q6TFL3_IDR_758_980",0.112214878136247
"Q6UWB4_IDR_1_52",0.518415267325204
"Q6UWB4_IDR_303_352",0.481584732674796
"Q6UWD8_IDR_105_151",1
"Q6UWE0_IDR_636_669",1
"Q6UWF3_IDR_48_145",1
"Q6UWH4_IDR_56_202",1
"Q6UWI2_IDR_14_284",1
"Q6UWI4_IDR_78_295",1
"Q6UWJ8_IDR_103_134",1
"Q6UWK7_IDR_1_40",1
"Q6UXB2_IDR_60_99",0.423565441880218
"Q6UXB4_IDR_1_53",1
"Q6UXB8_IDR_170_463",1
"Q6UXD1_IDR_1_115",1
"Q6UXD5_IDR_1_165",1
"Q6UXD7_IDR_446_537",1
"Q6UXF1_IDR_1_457",1
"Q6UXG3_IDR_129_313",1
"Q6UXH8_IDR_220_406",1
"Q6UXI7_IDR_153_223",1
"Q6UXY1_IDR_385_512",0.494639408511742
"Q6UXY8_IDR_961_1006",0.34830385092584
"Q6UXZ3_IDR_129_185",1
"Q6UXZ4_IDR_471_536",1
"Q6UY09_IDR_475_535",0.503998696467158
"Q6UY09_IDR_538_573",0.496001303532842
"Q6UY11_IDR_336_383",1
"Q6UY14_IDR_1_331",0.536250397103846
"Q6UY14_IDR_605_661",0.463749602896154
"Q6UYE1_IDR_29_110",1
"Q6V0L0_IDR_1_43",1
"Q6V1X1_IDR_1_49",1
"Q6V9R5_IDR_1_174",1
"Q6VAB6_IDR_173_400",0.466339111804989
"Q6VAB6_IDR_474_567",0.277243595366959
"Q6VAB6_IDR_571_651",0.256417292828052
"Q6VB84_IDR_1_106",0.409664965416826
"Q6VB84_IDR_235_416",0.590335034583174
"Q6VMQ6_IDR_1_1159",1
"Q6VN20_IDR_1_36",0.41893506667891
"Q6X4U4_IDR_169_206",0.486271976189457
"Q6X4U4_IDR_1_70",0.513728023810543
"Q6X4W1_IDR_108_323",0.710492368843483
"Q6X4W1_IDR_1_101",0.289507631156517
"Q6XD76_IDR_132_172",1
"Q6XE24_IDR_1_56",0.646905732455306
"Q6XE24_IDR_371_437",0.353094267544694
"Q6XPR3_IDR_90_784",1
"Q6XPS3_IDR_1_58",1
"Q6XR72_IDR_146_235",0.503391326862193
"Q6XR72_IDR_419_485",0.496608673137807
"Q6XYB7_IDR_142_198",0.527068058938413
"Q6XYB7_IDR_1_90",0.472931941061587
"Q6XYQ8_IDR_140_228",0.557398211072342
"Q6XYQ8_IDR_86_131",0.442601788927659
"Q6XZF7_IDR_1350_1512",0.379158037971558
"Q6XZF7_IDR_209_242",0.318558858267038
"Q6XZF7_IDR_302_779",0.302283103761404
"Q6Y1H2_IDR_1_34",1
"Q6Y2X3_IDR_1_330",0.511074480735239
"Q6ZMI0_IDR_702_734",0.17817841117327
"Q6ZMI0_IDR_737_780",0.199121833675865
"Q9NPE2_IDR_1_60",0.497316364734186
"Q9NPE6_IDR_1_183",1
"Q9NPF2_IDR_1_68",1
"Q9NPF5_IDR_14_49",0.308872788521456
"Q9NPF5_IDR_258_311",0.279399757182188
"Q9NPF5_IDR_396_467",0.411727454296356
"Q9NPG1_IDR_516_666",1
"Q9NPG3_IDR_173_351",0.377550166438932
"Q9NPG3_IDR_578_1134",0.622449833561068
"Q9NPG4_IDR_1124_1184",0.4207740499437
"Q9NPG4_IDR_785_1113",0.5792259500563
"Q9NPH2_IDR_512_558",1
"Q9NPI1_IDR_245_364",0.302596293041229
"Q9NPI1_IDR_35_132",0.339077018761179
"Q9NPI1_IDR_481_520",0.358326688197592
"Q9NPI5_IDR_196_230",1
"Q9NQ31_IDR_122_165",0.537053714860993
"Q9NQ32_IDR_297_467",1
"Q9NQ34_IDR_131_169",0.521755744307218
"Q9NQ34_IDR_1_36",0.478244255692782
"Q9NQ35_IDR_1_40",0.491585131691761
"Q9NQ35_IDR_43_103",0.508414868308239
"Q9NQ38_IDR_676_706",1
"Q9NQ40_IDR_249_292",1
"Q9NQ48_IDR_118_155",0.494020644178585
"Q9NQ48_IDR_170_209",0.505979355821415
"Q9NQ55_IDR_319_473",1
"Q9NQ60_IDR_11_294",1
"Q9NQ66_IDR_1049_1092",0.181630298559591
"Q9NQ66_IDR_1172_1216",0.223606323028521
"Q9NQ66_IDR_465_547",0.223262618588985
"Q9NQ66_IDR_817_1035",0.371500759822903
"Q9NQ69_IDR_197_275",0.359589235150869
"Q9NQ69_IDR_320_397",0.334804955926223
"Q9NQ69_IDR_32_66",0.305605808922908
"Q9NQ75_IDR_76_432",0.539973854080096
"Q9NQG1_IDR_45_85",1
"Q9NQG5_IDR_131_172",1
"Q9NQG6_IDR_33_130",1
"Q9NQG7_IDR_263_534",1
"Q9NQH7_IDR_1_40",1
"Q9NQI0_IDR_1_242",1
"Q9NQL9_IDR_1_249",0.403396326247062
"Q9NQL9_IDR_287_336",0.339576969706821
"Q9NQL9_IDR_397_472",0.257026704046118
"Q9NQM4_IDR_38_85",1
"Q9NQQ7_IDR_322_365",1
"Q9NQR7_IDR_1_118",0.569370189881248
"Q9NQR7_IDR_121_581",0.430629810118752
"Q9NQS1_IDR_1_113",0.527699064470761
"Q9NQS1_IDR_205_347",0.472300935529239
"Q9NQS3_IDR_1_50",0.233200629591603
"Q9NQS3_IDR_359_408",0.268970831628516
"Q9NQS3_IDR_429_530",0.497828538779881
"Q9NQW6_IDR_889_924",0.46160051961659
"Q9NQW8_IDR_1_183",0.512062688134175
"Q9NQW8_IDR_685_779",0.487937311865825
"Q9NQX0_IDR_1_165",0.374051087196167
"Q9NQX0_IDR_379_468",0.625948912803833
"Q9NQX1_IDR_1_168",1
"Q9NQX3_IDR_183_314",1
"Q9NQX4_IDR_1037_1071",0.606310957812909
"Q9NQX4_IDR_1227_1357",0.393689042187091
"Q9NQX5_IDR_107_282",0.584755341814414
"Q9NQX5_IDR_1_101",0.415244658185586
"Q9NQX6_IDR_49_130",1
"Q9NQX7_IDR_1_63",1
"Q9NQZ2_IDR_1_128",0.559283315560478
"Q9NQZ2_IDR_330_479",0.440716684439522
"Q9NQZ5_IDR_334_370",1
"Q9NQZ6_IDR_114_224",0.522329044930699
"Q9NQZ6_IDR_58_110",0.477670955069301
"Q9NQZ7_IDR_572_604",1
"Q9NQZ8_IDR_1_131",1
"Q9NR71_IDR_1_93",1
"Q9NR80_IDR_1_182",1
"Q9NR81_IDR_1_99",0.406025517914208
"Q9NR81_IDR_470_526",0.593974482085792
"Q9NR82_IDR_1_88",0.206580927735436
"Q9NR82_IDR_401_619",0.221811799490951
"Q9NR82_IDR_633_863",0.340787505044603
"Q9NR82_IDR_874_932",0.23081976772901
"Q9NR83_IDR_1_203",0.340941171630831
"Q9NR83_IDR_205_362",0.65905882836917
"Q9NR99_IDR_1646_1717",0.312766708630213
"Q9NR99_IDR_700_771",0.2213449803578
"Q9NR99_IDR_807_1634",0.465888311011987
"Q9NRA0_IDR_1_46",0.323825343087254
"Q9NRA0_IDR_384_419",0.34513349722704
"Q9NRA0_IDR_476_512",0.331041159685706
"Q9NRA2_IDR_1_31",1
"Q9NRA8_IDR_1_956",1
"Q9NRB3_IDR_1_105",1
"Q9NRC6_IDR_1_36",0.351623257740834
"Q9NRC6_IDR_3490_3540",0.306569023853588
"Q9NRC6_IDR_3642_3674",0.341807718405578
"Q9NRC8_IDR_350_400",1
"Q9NRD0_IDR_1_68",1
"Q9NRD1_IDR_262_293",1
"Q9NRD5_IDR_372_415",1
"Q9NRE2_IDR_1_857",1
"Q9NRF2_IDR_478_519",0.37796558736723
"Q9NRF2_IDR_628_752",0.336182428491373
"Q9NRF2_IDR_96_283",0.285851984141398
"Q9NRF9_IDR_96_147",1
"Q9NRG9_IDR_496_527",1
"Q9NRH1_IDR_1_34",0.459508070659107
"Q9NRH1_IDR_135_196",0.540491929340893
"Q9NRH2_IDR_340_729",1
"Q9NRI5_IDR_1_543",0.395558229700663
"Q9NRI5_IDR_618_854",0.604441770299337
"Q9NRJ3_IDR_91_127",1
"Q9NRJ4_IDR_492_623",0.211891821890032
"Q9NRQ2_IDR_1_33",1
"Q9NRR4_IDR_1_63",0.331109278734901
"Q9NRR4_IDR_460_500",0.280645370042921
"Q9NRR4_IDR_78_405",0.388245351222178
"Q9NRR5_IDR_86_553",1
"Q9NRR6_IDR_1_274",1
"Q9NRR8_IDR_44_79",1
"Q9NRS4_IDR_1_53",1
"Q9NRS6_IDR_129_263",1
"Q9NRW1_IDR_177_207",1
"Q9NRX1_IDR_1_59",1
"Q9NRX5_IDR_334_373",1
"Q9NRY2_IDR_25_65",1
"Q9NRY4_IDR_1122_1245",0.197617303385444
"Q9NRY4_IDR_1442_1499",0.490510588499302
"Q9NRY4_IDR_952_1117",0.311872108115254
"Q9NRY5_IDR_1_232",1
"Q9NRY6_IDR_1_64",1
"Q9NRZ5_IDR_334_378",1
"Q9NRZ7_IDR_334_376",1
"Q9NS61_IDR_1_83",1
"Q9NS62_IDR_437_799",1
"Q9NS66_IDR_215_277",1
"Q9NS68_IDR_1_72",0.307736195404171
"Q9NS68_IDR_194_423",0.386529062374945
"Q9NS68_IDR_96_189",0.305734742220884
"Q9NS69_IDR_108_142",0.553522660865896
"Q9NS69_IDR_1_41",0.446477339134104
"Q9NS73_IDR_95_137",1
"Q9NS82_IDR_1_31",1
"Q9NS84_IDR_1_98",1
"Q9NS86_IDR_1_60",1
"Q9NS87_IDR_555_589",0.478951413156034
"Q9NS87_IDR_601_712",0.521048586843966
"Q9NS91_IDR_359_495",0.43643321711966
"Q9NS91_IDR_99_241",0.56356678288034
"Q9NS93_IDR_522_570",1
"Q9NS98_IDR_734_782",1
"Q9NSA1_IDR_170_209",1
"Q9NSI8_IDR_1_160",0.524988483676135
"Q9NSI8_IDR_305_335",0.475011516323865
"Q9NSN8_IDR_154_196",1
"Q9NST1_IDR_258_304",0.476107180258226
"Q9NST1_IDR_404_481",0.523892819741774
"Q9NSV4_IDR_1022_1179",0.337461679593779
"Q9NSV4_IDR_1_112",0.342954720390943
"Q9NSV4_IDR_549_600",0.319583600015277
"Q9NSY0_IDR_1_35",0.538931306629773
"Q9NSY0_IDR_387_418",0.461068693370227
"Q9NSY1_IDR_1_37",0.575109939039216
"Q9NSY1_IDR_326_1111",0.424890060960784
"Q9NT22_IDR_123_242",1
"Q9NT62_IDR_110_192",1
"Q9NT68_IDR_1_404",1
"Q9NT99_IDR_1_49",0.232078036269559
"Q9NT99_IDR_459_491",0.220369262201561
"Q9NT99_IDR_496_552",0.218241391954565
"Q9NT99_IDR_620_693",0.329311309574314
"Q9NTG1_IDR_1_42",0.527170741311284
"Q9NTZ6_IDR_392_426",0.52037459495694
"Q9NTZ6_IDR_92_222",0.47962540504306
"Q9NU19_IDR_1_180",1
"Q9NU22_IDR_4661_5278",1
"Q9NU39_IDR_1_105",0.367095633409669
"Q9NU39_IDR_185_408",0.63290436659033
"Q9NUA8_IDR_129_237",0.563734030420524
"Q9NUA8_IDR_614_733",0.436265969579476
"Q9NUB1_IDR_1_52",1
"Q9NUB4_IDR_1_34",0.519798764574976
"Q9NUB4_IDR_89_122",0.480201235425024
"Q9NUC0_IDR_1_75",0.553821572568574
"Q9NUC0_IDR_208_253",0.446178427431426
"Q9NUD5_IDR_1_161",1
"Q9NUD7_IDR_1_112",1
"Q9NUE0_IDR_1_65",0.457143045194586
"Q9NUE0_IDR_353_388",0.542856954805414
"Q9NUG4_IDR_1_37",0.286435125196174
"Q9NUG4_IDR_160_295",0.271349541376507
"Q9NUG4_IDR_370_409",0.442215333427319
"Q9NUW8_IDR_13_151",1
"Q9NUX5_IDR_297_327",1
"Q9NUY8_IDR_464_497",0.491817052312304
"Q9NUY8_IDR_512_544",0.508182947687696
"Q9NV06_IDR_412_445",1
"Q9NV56_IDR_117_204",1
"Q9NV58_IDR_22_125",0.355938791580131
"Q9NV58_IDR_400_436",0.333882973124306
"Q9NV58_IDR_463_838",0.310178235295563
"Q9NV64_IDR_1_56",1
"Q9NV66_IDR_248_317",0.437460351998835
"Q9NV66_IDR_319_352",0.562539648001165
"Q9NV70_IDR_437_506",1
"Q9NV72_IDR_1_253",1
"Q9NV79_IDR_300_336",1
"Q9NV92_IDR_1_224",1
"Q9NV96_IDR_1_31",1
"Q9NVA1_IDR_1_87",1
"Q9NVA2_IDR_397_429",1
"Q9NVA4_IDR_342_438",1
"Q9NVN8_IDR_426_582",0.563555960445402
"Q9NVP1_IDR_1_173",0.387539784855359
"Q9NVP1_IDR_626_670",0.612460215144641
"Q9NVP2_IDR_156_202",1
"Q9NVP4_IDR_122_194",1
"Q9NVR0_IDR_1_68",1
"Q9NVR2_IDR_360_393",1
"Q9NVR5_IDR_207_252",0.383308141528829
"Q9NVR5_IDR_354_517",0.26410793683836
"Q9NVR5_IDR_674_794",0.352583921632811
"Q9NVU0_IDR_145_176",0.30698843281738
"Q9NVU0_IDR_439_554",0.69301156718262
"Q9NVU7_IDR_226_280",0.532632907106529
"Q9NVU7_IDR_452_687",0.467367092893471
"Q9NVV0_IDR_250_291",1
"Q9NVV4_IDR_535_582",1
"Q9NVV9_IDR_86_145",1
"Q9NVW2_IDR_1_513",1
"Q9NVZ3_IDR_164_239",1
"Q9NWF9_IDR_1_33",0.514488583050886
"Q9NWF9_IDR_35_277",0.485511416949114
"Q9NWH7_IDR_117_434",1
"Q9NWH9_IDR_463_967",0.270741987018073
"Q9NWH9_IDR_70_383",0.284632587700854
"Q9NWH9_IDR_969_1002",0.444625425281074
"Q9NWK9_IDR_1_219",1
"Q9NWL6_IDR_360_399",1
"Q9NWM3_IDR_1_46",0.29621903501634
"Q9NWM3_IDR_250_386",0.391824254575232
"Q9NWM3_IDR_87_248",0.311956710408427
"Q9NWN3_IDR_1_551",1
"Q9NWQ4_IDR_1_482",1
"Q9NWQ8_IDR_1_432",1
"Q9NWS0_IDR_174_207",1
"Q9NWS1_IDR_463_579",1
"Q9NWS8_IDR_57_167",1
"Q9NWS9_IDR_112_328",1
"Q9NWT1_IDR_307_392",1
"Q9NWT8_IDR_1_65",0.534881547805773
"Q9NX63_IDR_1_116",1
"Q9NX65_IDR_117_542",0.535436396297694
"Q9NX65_IDR_1_50",0.464563603702306
"Q9NX70_IDR_1_53",1
"Q9NX74_IDR_439_493",1
"Q9NX94_IDR_115_240",0.466472941051647
"Q9NX94_IDR_276_314",0.533527058948353
"Q9NX95_IDR_1_281",0.36792644250589
"Q9NX95_IDR_305_336",0.22524516507234
"Q9NX95_IDR_344_484",0.188574354818794
"Q9NXV2_IDR_1_40",1
"Q9NXV6_IDR_111_427",1
"Q9NXW2_IDR_211_265",0.654022621697104
"Q9NXW2_IDR_53_91",0.345977378302896
"Q9NXX6_IDR_1_78",1
"Q9NXZ1_IDR_26_820",1
"Q9NXZ2_IDR_137_167",0.536954893252392
"Q9NXZ2_IDR_1_65",0.463045106747608
"Q9NY12_IDR_162_217",0.448086013977547
"Q9NY12_IDR_1_62",0.551913986022453
"Q9NY25_IDR_1_65",1
"Q9NYB5_IDR_1_35",0.232166209418453
"Q9NYB5_IDR_142_182",0.250619312964622
"Q9NYB5_IDR_300_332",0.268165559116718
"Q9NYB5_IDR_667_712",0.249048918500207
"Q9NYD6_IDR_1_278",1
"Q9NYF0_IDR_1_836",1
"Q9NYF3_IDR_1_392",1
"Q9NYF5_IDR_214_571",0.395134662930215
"Q9NYF5_IDR_621_681",0.33373564726737
"Q9NYF5_IDR_753_837",0.271129689802415
"Q9NYP7_IDR_257_299",1
"Q9NYP9_IDR_1_39",0.52004706821906
"Q9NYP9_IDR_44_76",0.47995293178094
"Q9NYQ6_IDR_2300_2332",0.276622552068231
"Q9NYQ6_IDR_2722_2752",0.311156190989488
"Q9NYQ6_IDR_2754_2998",0.412221256942281
"Q9NYQ7_IDR_181_231",0.276515242601946
"Q9NYQ7_IDR_2788_2818",0.347846052300388
"Q9NYQ7_IDR_2824_3312",0.375638705097666
"Q9NYT0_IDR_109_165",1
"Q9NYT6_IDR_53_195",1
"Q9NYU2_IDR_1_41",1
"Q9NYV4_IDR_1021_1344",0.628178267246844
"Q9NYV4_IDR_1_717",0.371821732753156
"Q9NYV6_IDR_1_45",0.268898454358598
"Q9NYV6_IDR_264_301",0.206909237608783
"Q9NYV6_IDR_591_651",0.524192308032619
"Q9NYW8_IDR_62_176",1
"Q9NYX4_IDR_167_217",1
"Q9NYY3_IDR_1_66",0.543286894148331
"Q9NZ71_IDR_1141_1219",0.255022389870107
"Q9NZ81_IDR_1_148",1
"Q9NZ94_IDR_158_197",0.239160909526863
"Q9NZ94_IDR_639_702",0.226903682093766
"Q9NZ94_IDR_734_806",0.295348097098653
"Q9NZ94_IDR_818_848",0.238587311280718
"Q9NZA1_IDR_1_170",1
"Q9NZB2_IDR_349_547",0.605488732241413
"Q9NZB2_IDR_894_1118",0.394511267758587
"Q9NZB8_IDR_1_47",1
"Q9NZC2_IDR_187_230",1
"Q9NZC4_IDR_123_204",1
"Q9NZC9_IDR_1_235",0.527407517493904
"Q9NZC9_IDR_859_954",0.472592482506096
"Q9NZD1_IDR_271_316",1
"Q9NZE8_IDR_1_85",1
"Q9NZH0_IDR_301_384",1
"Q9NZH6_IDR_1_51",1
"Q9NZI5_IDR_129_163",0.59930540652084
"Q9NZI5_IDR_73_112",0.40069459347916
"Q9NZM3_IDR_818_886",0.291879004879236
"Q9NZM4_IDR_26_1560",1
"Q9NZM5_IDR_1_87",0.557206392498032
"Q9NZM5_IDR_92_417",0.442793607501968
"Q9NZN1_IDR_586_618",1
"Q9NZN5_IDR_1136_1241",0.192958753134601
"Q9NZN5_IDR_1267_1405",0.150519550119931
"Q9NZN5_IDR_1422_1489",0.164157001963066
"Q9NZN5_IDR_149_345",0.18509909363075
"Q9NZN5_IDR_1_64",0.1669112952192
"Q9NZN5_IDR_564_764",0.140354305932451
"Q9NZN8_IDR_1_345",1
"Q9NZN9_IDR_328_384",1
"Q9NZQ0_IDR_191_227",1
"Q9NZQ3_IDR_104_308",1
"Q9NZQ8_IDR_1127_1165",0.551403346369733
"Q9NZQ8_IDR_669_714",0.448596653630267
"Q9NZQ9_IDR_1_181",1
"Q9NZR1_IDR_35_71",0.440840791436471
"Q9P0G3_IDR_1_36",1
"Q9P0J6_IDR_1_67",1
"Q9P0J7_IDR_137_381",1
"Q9P0K1_IDR_1_41",0.26915816701059
"Q9P0K1_IDR_202_233",0.261880564538439
"Q9P0K1_IDR_766_906",0.468961268450971
"Q9P0K7_IDR_242_553",1
"Q9P0K8_IDR_145_465",0.385262803311174
"Q9P0K8_IDR_1_64",0.269536468743953
"Q9P0K8_IDR_469_563",0.345200727944873
"Q9P0L0_IDR_135_249",1
"Q9P0L1_IDR_136_239",0.532427259064389
"Q9P0L1_IDR_241_356",0.467572740935611
"Q9P0L2_IDR_1_53",0.56222439759142
"Q9P0L2_IDR_374_703",0.43777560240858
"Q9P0L9_IDR_1_74",0.525020243402697
"Q9P0L9_IDR_742_805",0.474979756597303
"Q9P0M2_IDR_1_82",1
"Q9P0M4_IDR_1_39",0.498217101262971
"Q9P0M4_IDR_41_103",0.501782898737029
"Q9P0X4_IDR_1736_2223",0.412203192214801
"Q9P104_IDR_234_306",1
"Q9P107_IDR_228_262",0.332427430483496
"Q9P107_IDR_355_479",0.34891297324877
"Q9P107_IDR_761_933",0.318659596267734
"Q9P126_IDR_1_77",1
"Q9P1A6_IDR_167_864",0.381522331471368
"Q9P1A6_IDR_21_162",0.441326146248811
"Q9P1A6_IDR_978_1040",0.177151522279822
"Q9P1Q0_IDR_1_60",0.430196327501227
"Q9P1Q0_IDR_481_575",0.569803672498773
"Q9P1T7_IDR_1_182",1
"Q9P212_IDR_2241_2302",0.246635747711878
"Q9P215_IDR_575_609",0.460479325738729
"Q9P215_IDR_92_151",0.539520674261271
"Q9P217_IDR_119_175",0.312834564747797
"Q9P217_IDR_25_59",0.350075549623051
"Q9P217_IDR_455_485",0.337089885629153
"Q9P218_IDR_119_151",0.464750125348016
"Q9P218_IDR_992_1284",0.535249874651984
"Q9P219_IDR_1329_2016",0.354683075344057
"Q9P219_IDR_221_259",0.268962467976784
"Q9P219_IDR_297_784",0.157764480187546
"Q9P219_IDR_888_1063",0.218589976491613
"Q9P225_IDR_1_73",1
"Q9P227_IDR_173_685",0.546940513647819
"Q9P227_IDR_809_899",0.258736209582302
"Q9P273_IDR_1_295",0.674427277170305
"Q9P273_IDR_338_375",0.325572722829695
"Q9P275_IDR_1046_1123",0.576038635071976
"Q9P275_IDR_426_1044",0.423961364928024
"Q9P278_IDR_180_304",0.289937773569425
"Q9P278_IDR_576_717",0.229959268987071
"Q9P278_IDR_726_922",0.212143527109944
"Q9P278_IDR_93_123",0.267959430333561
"Q9P281_IDR_1_164",0.51900336403045
"Q9P281_IDR_167_2471",0.48099663596955
"Q9P283_IDR_64_95",1
"Q9P286_IDR_46_425",1
"Q9P287_IDR_1_53",1
"Q9P289_IDR_327_378",1
"Q9P291_IDR_31_195",1
"Q9P299_IDR_1_37",1
"Q9P2D8_IDR_1213_1269",0.180624338703216
"Q9P2D8_IDR_1442_1999",0.157361412927482
"Q9P2D8_IDR_721_804",0.242501414776609
"Q9P2D8_IDR_882_939",0.212908086021028
"Q9P2E2_IDR_367_798",0.533075680180644
"Q9P2E2_IDR_901_1029",0.466924319819356
"Q9P2E3_IDR_1_141",0.539665198278064
"Q9P2E3_IDR_795_887",0.460334801721936
"Q9P2E5_IDR_1_86",1
"Q9P2E7_IDR_682_718",0.239130158043771
"Q9P2E7_IDR_725_786",0.250558725843802
"Q9P2E7_IDR_842_947",0.510311116112427
"Q9P2E8_IDR_320_370",0.46068227599072
"Q9P2E8_IDR_60_158",0.53931772400928
"Q9P2E9_IDR_1247_1357",0.196287078083951
"Q9P2E9_IDR_1379_1410",0.239792906263971
"Q9P2E9_IDR_1_698",0.183200521849338
"Q9P2E9_IDR_708_740",0.212743966203265
"Q9P2E9_IDR_883_996",0.167975527599476
"Q9P2F5_IDR_147_926",1
"Q9P2J2_IDR_1091_1133",0.475950420456418
"Q9P2J5_IDR_118_153",1
"Q9P2J8_IDR_107_245",0.564527354186306
"Q9P2J8_IDR_1_48",0.435472645813694
"Q9P2K1_IDR_1_257",0.503584721307664
"Q9P2K1_IDR_587_624",0.496415278692336
"Q9P2K2_IDR_757_825",1
"Q9P2K3_IDR_133_296",0.596807660461296
"Q9P2K3_IDR_347_495",0.403192339538704
"Q9P2K8_IDR_1496_1526",0.258849981044454
"Q9P2K8_IDR_189_260",0.273296698570547
"Q9P2K8_IDR_660_709",0.246380813187069
"Q9P2K8_IDR_713_792",0.221472507197931
"Q9P2K9_IDR_1_42",0.518552346768922
"Q9P2K9_IDR_156_252",0.481447653231078
"Q9P2M4_IDR_1_324",1
"Q9P2N2_IDR_119_312",0.49358323138936
"Q9P2N2_IDR_19_80",0.50641676861064
"Q9P2N4_IDR_212_287",1
"Q9P2R6_IDR_1525_1566",0.166942526097927
"Q9P2R6_IDR_443_1471",0.707056474824516
"Q9P2R7_IDR_1_50",1
"Q9P2S2_IDR_1344_1627",0.583620910279537
"Q9P2S2_IDR_1672_1710",0.416379089720463
"Q9P2S6_IDR_370_444",1
"Q9P2T0_IDR_1_302",0.458817510784295
"Q9P2T0_IDR_341_379",0.541182489215705
"Q9P2U7_IDR_1_51",0.455669190891095
"Q9P2U7_IDR_498_560",0.544330809108905
"Q9P2U8_IDR_1_59",0.442544289615693
"Q9P2U8_IDR_506_582",0.557455710384307
